run,bioproject,biosample,amikacin,ciprofloxacin,capreomycin,cycloserine,ethambutol,ethionamide,isoniazid,kanamycin,linezolid,moxifloxacin,ofloxacin,para-aminosalicylic_acid,rifampicin,rifabutin,streptomycin,pyrazinamide
ERR552208,PRJEB6273,SAMEA2534485,S,,S,S,S,R,R,,S,,S,S,R,,R,S
ERR550705,PRJEB6273,SAMEA2533408,,,S,S,R,R,R,,S,,S,,R,,R,R
ERR2307549,PRJEB24099,SAMEA104600335,,,,,R,,R,,,,,,R,,R,R
ERR2307550,PRJEB24099,SAMEA104600336,,,,,S,,R,,,,,,R,,R,R
ERR2307552,PRJEB24099,SAMEA104600338,,,,,R,,R,,,,,,R,,R,S
ERR2307553,PRJEB24099,SAMEA104600339,,,,,R,,R,,,,,,R,,R,R
ERR2307554,PRJEB24099,SAMEA104600340,,,,,S,,R,,,,,,S,,R,S
ERR551281,PRJEB6273,SAMEA2533831,,,S,S,R,S,R,,S,,R,,R,,R,R
ERR2307555,PRJEB24099,SAMEA104600341,,,,,R,,R,,,,,,R,,R,
ERR2307556,PRJEB24099,SAMEA104600342,,,,,R,,R,,,,,,R,,R,
ERR550985,PRJEB6273,SAMEA2533611,S,,S,S,R,S,R,,S,,S,S,R,R,R,R
ERR550721,PRJEB6273,SAMEA2533420,R,,R,S,R,R,R,,S,,S,,R,,R,R
ERR2307557,PRJEB24099,SAMEA104600343,,,,,R,,R,,,,,,R,,R,R
ERR2307558,PRJEB24099,SAMEA104600344,,,,,R,,R,,,,,,R,,R,R
ERR2307559,PRJEB24099,SAMEA104600345,,,,,R,,R,,,,,,R,,R,R
ERR2307563,PRJEB24099,SAMEA104600349,,,,,R,,R,,,,,,R,,R,S
ERR552348,PRJEB6273,SAMEA2534583,,,S,S,R,S,R,,S,,S,,R,,R,S
ERR552786,PRJEB6273,SAMEA2534903,B,,S,S,R,R,R,,S,R,R,S,R,R,R,R
ERR2307564,PRJEB24099,SAMEA104600350,,,,,R,,R,,,,,,R,,R,
ERR2307566,PRJEB24099,SAMEA104600352,,,R,R,R,,R,,,,R,,R,,R,
ERR2307567,PRJEB24099,SAMEA104600353,,,,,R,,R,,,,,,R,,R,R
ERR2307568,PRJEB24099,SAMEA104600354,,,,,R,,R,,,,,,R,,R,
ERR550690,PRJEB6273,SAMEA2533395,S,,S,S,R,S,R,,,,S,R,R,,R,R
ERR551421,PRJEB6273,SAMEA2533931,,,S,S,R,S,R,,,,S,,R,,R,S
ERR2307569,PRJEB24099,SAMEA104600355,,,,,R,,R,,,,,,R,,R,S
ERR2307570,PRJEB24099,SAMEA104600142,,,,,R,,R,,,,,,R,,R,S
ERR551788,PRJEB6273,SAMEA2534194,S,,S,S,S,R,R,,S,,S,S,R,,R,R
ERR2307571,PRJEB24099,SAMEA104600356,,,,,R,,R,,,,,,,,R,
ERR553233,PRJEB6273,SAMEA2535232,S,,S,S,R,S,R,,S,,S,S,R,,R,R
