run,bioproject,biosample,amikacin,ciprofloxacin,capreomycin,cycloserine,ethambutol,ethionamide,isoniazid,kanamycin,linezolid,moxifloxacin,ofloxacin,para-aminosalicylic_acid,rifampicin,rifabutin,streptomycin,pyrazinamide
ERR2307741,PRJEB24099,SAMEA104600511,,,,,R,,R,,,,,,R,,R,R
ERR2307742,PRJEB24099,SAMEA104600512,,,,,R,,R,,,,,,R,,R,S
ERR2307743,PRJEB24099,SAMEA104600152,,,,,,,,,,,,,,,,
ERR2307744,PRJEB24099,SAMEA104600153,,,,,,,,,,,,,,,,
ERR2307745,PRJEB24099,SAMEA104600513,,,,,R,,R,,,,,,R,,R,R
ERR2307746,PRJEB24099,SAMEA104600514,,,,,S,,R,,,,,,R,,R,R
ERR2307747,PRJEB24099,SAMEA104600515,,,,,S,,R,,,,,,S,,R,S
ERR2307748,PRJEB24099,SAMEA104600516,,,,,S,,R,,,,,,R,,R,R
ERR2307749,PRJEB24099,SAMEA104600517,,,,,R,,R,,,,,,R,,R,R
ERR2307750,PRJEB24099,SAMEA104600518,,,,,R,,R,,,,,,R,,R,S
ERR2307751,PRJEB24099,SAMEA104600154,,,,,,,,,,,,,,,,
ERR2307752,PRJEB24099,SAMEA104600519,,,,,R,,R,,,,,,R,,R,R
ERR2307753,PRJEB24099,SAMEA104600520,,,,,R,,R,,,,,,R,,R,R
ERR2307754,PRJEB24099,SAMEA104600521,,,,,R,,R,,,,,,R,,R,
ERR2307755,PRJEB24099,SAMEA104600155,,,,,,,,,,,,,,,,
ERR2307756,PRJEB24099,SAMEA104600156,,,,,,,,,,,,,,,,
ERR2307757,PRJEB24099,SAMEA104600522,,,,,S,,S,,,,,,S,,S,S
ERR2307758,PRJEB24099,SAMEA104600523,,,,,R,,R,,,,,,R,,R,R
ERR2307759,PRJEB24099,SAMEA104600524,,,,,R,,R,,,,,,R,,R,S
ERR2307760,PRJEB24099,SAMEA104600525,,,,,R,,R,,,,,,R,,R,R
ERR2307761,PRJEB24099,SAMEA104600526,,,,,R,,R,,,,,,R,,R,S
ERR2307762,PRJEB24099,SAMEA104600527,,,,,R,,R,,,,,,R,,R,S
ERR2307763,PRJEB24099,SAMEA104600528,,,,,R,,R,,,,,,R,,R,R
ERR2307764,PRJEB24099,SAMEA104600157,,,,,,,,,,,,,,,,
ERR2307767,PRJEB24099,SAMEA104600529,S,,S,S,,,R,,,S,,S,R,,R,
ERR2307765,PRJEB24099,SAMEA104600530,S,,S,S,,,R,,,S,,S,R,,R,
ERR2307766,PRJEB24099,SAMEA104600531,S,,S,S,,,R,,,S,,R,R,,R,
ERR2307768,PRJEB24099,SAMEA104600532,S,,S,S,,,R,,,S,,S,S,,R,
ERR2307769,PRJEB24099,SAMEA104600533,R,,R,S,,,R,,,S,,S,R,,R,
ERR2307770,PRJEB24099,SAMEA104600534,R,,R,S,,,R,,,S,,S,R,,R,
ERR2307771,PRJEB24099,SAMEA104600535,S,,S,S,,,R,,,S,,S,R,,R,
ERR2307772,PRJEB24099,SAMEA104600536,R,,R,S,,,R,,,S,,S,R,,R,
ERR2307775,PRJEB24099,SAMEA104600537,S,,S,S,,,R,,,S,,S,R,,R,
ERR2307773,PRJEB24099,SAMEA104600538,S,,S,S,,,R,,,S,,S,S,,R,
ERR2307774,PRJEB24099,SAMEA104600539,R,,R,S,,,R,,,S,,R,R,,R,
ERR2307776,PRJEB24099,SAMEA104600540,R,,S,S,,,R,,,S,,S,R,,R,
ERR2307777,PRJEB24099,SAMEA104600541,S,,S,R,,,R,,,S,,S,R,,R,
ERR2307778,PRJEB24099,SAMEA104600542,S,,S,S,,,R,,,S,,S,R,,R,
ERR2307779,PRJEB24099,SAMEA104600543,S,,S,S,,,R,,,S,,S,S,,R,
ERR2307780,PRJEB24099,SAMEA104600544,S,,S,S,,,R,,,S,,S,R,,R,
ERR2307781,PRJEB24099,SAMEA104600545,S,,S,S,,,R,,,S,,S,R,,R,
ERR2307782,PRJEB24099,SAMEA104600546,S,,S,S,,,R,,,S,,S,R,,R,
ERR2307783,PRJEB24099,SAMEA104600547,S,,S,S,,,R,,,S,,S,S,,R,
ERR2307784,PRJEB24099,SAMEA104600548,S,,S,S,,,R,,,S,,S,R,,R,
ERR2307785,PRJEB24099,SAMEA104600549,S,,S,S,,,R,,,S,,R,R,,R,
ERR2307786,PRJEB24099,SAMEA104600550,,,,,R,,R,,,,,,R,,R,R
ERR2307787,PRJEB24099,SAMEA104600551,,,,,R,,R,,,,,,R,,R,R
ERR2307788,PRJEB24099,SAMEA104600552,,,,,R,,R,,,,,,R,,R,R
ERR2307789,PRJEB24099,SAMEA104600553,,,,,R,,R,,,,,,R,,R,R
ERR2307790,PRJEB24099,SAMEA104600554,,,,,R,,R,,,,,,R,,R,S
ERR2307791,PRJEB24099,SAMEA104600555,,,,,R,,R,,,,,,R,,R,R
ERR2307792,PRJEB24099,SAMEA104600556,,,,,S,,R,,,,,,S,,R,S
ERR2307793,PRJEB24099,SAMEA104600557,,,,,R,,R,,,,,,R,,R,R
ERR2307794,PRJEB24099,SAMEA104600558,,,,,R,,R,,,,,,R,,R,
ERR2307795,PRJEB24099,SAMEA104600559,,,,,R,,R,,,,,,R,,R,S
ERR2307796,PRJEB24099,SAMEA104600560,,,,,R,,R,,,,,,R,,R,R
ERR2307797,PRJEB24099,SAMEA104600158,,,,,,,,,,,,,,,,
ERR2307798,PRJEB24099,SAMEA104600561,,,,,R,,R,,,,,,R,,R,R
ERR2307799,PRJEB24099,SAMEA104600562,,,,,R,,R,,,,,,R,,R,R
ERR2307800,PRJEB24099,SAMEA104600563,,,,,R,,R,,,,,,R,,R,R
ERR2307801,PRJEB24099,SAMEA104600564,,,,,S,,R,,,,,,S,,R,S
ERR2307802,PRJEB24099,SAMEA104600565,,,,,R,,R,,,,,,R,,R,R
SRR1159349,PRJNA229570,SAMN02419533,,,,,,,,,,,,,,,,
SRR1159661,PRJNA229571,SAMN02419534,,,,,,,,,,,,,,,,
SRR1159721,PRJNA229573,SAMN02419536,,,,,,,,,,,,,,,,
SRR1159393,PRJNA229575,SAMN02419538,,,,,,,,,,,,,,,,
SRR1159083,PRJNA229578,SAMN02419541,,,,,,,,,,,,,,,,
SRR1159044,PRJNA229584,SAMN02419547,,,,,,,,,,,,,,,,
SRR1159760,PRJNA229585,SAMN02419548,,,,,,,,,,,,,,,,
SRR1181093,PRJNA229596,SAMN02419558,,,,,,,,,,,,,,,,
SRR1159521,PRJNA229598,SAMN02419560,,,,,,,,,,,,,,,,
SRR1159700,PRJNA229599,SAMN02419561,,,,,,,,,,,,,,,,
SRR1158874,PRJNA229600,SAMN02419562,,,,,,,,,,,,,,,,
SRR1159738,PRJNA229603,SAMN02419565,,,,,,,,,,,,,,,,
SRR1159108,PRJNA229605,SAMN02419567,,,,,,,,,,,,,,,,
SRR1158898,PRJNA229607,SAMN02419569,,,,,,,,,,,,,,,,
SRR1181155,PRJNA229608,SAMN02419570,,,,,,,,,,,,,,,,
SRR1159121,PRJNA229609,SAMN02419571,,,,,,,,,,,,,,,,
SRR1181074,PRJNA229615,SAMN02419577,,,,,,,,,,,,,,,,
SRR1159076,PRJNA229618,SAMN02419579,,,,,,,,,,,,,,,,
SRR1158923,PRJNA229619,SAMN02419580,,,,,,,,,,,,,,,,
SRR1158907,PRJNA229622,SAMN02419583,,,,,,,,,,,,,,,,
SRR1159293,PRJNA229624,SAMN02419585,,,,,,,,,,,,,,,,
SRR1158950,PRJNA229626,SAMN02419587,,,,,,,,,,,,,,,,
SRR1159262,PRJNA229627,SAMN02419588,,,,,,,,,,,,,,,,
SRR1159294,PRJNA229629,SAMN02419590,,,,,,,,,,,,,,,,
SRR1180924,PRJNA229630,SAMN02419591,,,,,,,,,,,,,,,,
SRR1158943,PRJNA229631,SAMN02419592,,,,,,,,,,,,,,,,
SRR1159034,PRJNA229632,SAMN02419593,,,,,,,,,,,,,,,,
SRR1158990,PRJNA229634,SAMN02419595,,,,,,,,,,,,,,,,
SRR1159003,PRJNA229635,SAMN02419596,,,,,,,,,,,,,,,,
SRR1159861,PRJNA229636,SAMN02419597,,,,,,,,,,,,,,,,
SRR1159122,PRJNA229641,SAMN02419602,,,,,,,,,,,,,,,,
SRR1163025,PRJNA229646,SAMN02419606,,,,,,,,,,,,,,,,
SRR1163050,PRJNA229649,SAMN02419609,,,,,,,,,,,,,,,,
SRR1163202,PRJNA229651,SAMN02419611,,,,,,,,,,,,,,,,
SRR1163121,PRJNA229652,SAMN02419612,,,,,,,,,,,,,,,,
SRR1162947,PRJNA229654,SAMN02419614,,,,,,,,,,,,,,,,
SRR1163126,PRJNA229655,SAMN02419615,,,,,,,,,,,,,,,,
SRR1163135,PRJNA229656,SAMN02419616,,,,,,,,,,,,,,,,
SRR1163101,PRJNA229668,SAMN02419628,,,,,,,,,,,,,,,,
SRR1162952,PRJNA229669,SAMN02419629,,,,,,,,,,,,,,,,
SRR1163198,PRJNA229671,SAMN02419631,,,,,,,,,,,,,,,,
SRR1163021,PRJNA229674,SAMN02419634,,,,,,,,,,,,,,,,
SRR1163079,PRJNA229677,SAMN02419636,,,,,,,,,,,,,,,,
SRR1163002,PRJNA229679,SAMN02419638,,,,,,,,,,,,,,,,
SRR1163114,PRJNA229691,SAMN02419649,,,,,,,,,,,,,,,,
SRR1163080,PRJNA229692,SAMN02419650,,,,,,,,,,,,,,,,
SRR1163139,PRJNA229693,SAMN02419651,,,,,,,,,,,,,,,,
SRR1162953,PRJNA229697,SAMN02419655,,,,,,,,,,,,,,,,
SRR1163211,PRJNA229698,SAMN02419656,,,,,,,,,,,,,,,,
SRR1163103,PRJNA229700,SAMN02419658,,,,,,,,,,,,,,,,
SRR1162966,PRJNA229701,SAMN02419659,,,,,,,,,,,,,,,,
SRR1163145,PRJNA229704,SAMN02419662,,,,,,,,,,,,,,,,
SRR1163023,PRJNA229706,SAMN02419664,,,,,,,,,,,,,,,,
SRR1163369,PRJNA229709,SAMN02419667,,,,,,,,,,,,,,,,
SRR1163104,PRJNA229710,SAMN02419668,,,,,,,,,,,,,,,,
SRR1163172,PRJNA229712,SAMN02419670,,,,,,,,,,,,,,,,
SRR1163177,PRJNA229716,SAMN02419674,,,,,,,,,,,,,,,,
SRR1163081,PRJNA229717,SAMN02419675,,,,,,,,,,,,,,,,
SRR1162980,PRJNA229718,SAMN02419676,,,,,,,,,,,,,,,,
SRR1163178,PRJNA229721,SAMN02419679,,,,,,,,,,,,,,,,
SRR1162977,PRJNA229727,SAMN02419685,,,,,,,,,,,,,,,,
ERR553122,PRJEB6273,SAMEA2535155,,,,,R,,R,,,,,,R,,R,
ERR553123,PRJEB6273,SAMEA2535155,,,,,R,,R,,,,,,R,,R,
ERR552480,PRJEB6273,SAMEA2534677,,,,,S,,R,,,,,,S,,R,
ERR552481,PRJEB6273,SAMEA2534677,,,,,S,,R,,,,,,S,,R,
ERR552482,PRJEB7281,SAMEA2534677,,,,,S,,R,,,,,,S,,R,
ERR552086,PRJEB6273,SAMEA2534405,S,,S,S,S,S,R,,S,,S,S,R,R,R,S
ERR552087,PRJEB6273,SAMEA2534405,S,,S,S,S,S,R,,S,,S,S,R,R,R,S
ERR552088,PRJEB6273,SAMEA2534405,S,,S,S,S,S,R,,S,,S,S,R,R,R,S
ERR552089,PRJEB6273,SAMEA2534405,S,,S,S,S,S,R,,S,,S,S,R,R,R,S
ERR552666,PRJEB6273,SAMEA2534809,,,S,S,S,S,R,,S,,S,,R,R,R,S
ERR552668,PRJEB7281,SAMEA2534809,,,S,S,S,S,R,,S,,S,,R,R,R,S
ERR552669,PRJEB7281,SAMEA2534809,,,S,S,S,S,R,,S,,S,,R,R,R,S
ERR552670,PRJEB7281,SAMEA2534809,,,S,S,S,S,R,,S,,S,,R,R,R,S
ERR552671,PRJEB7281,SAMEA2534809,,,S,S,S,S,R,,S,,S,,R,R,R,S
ERR2307402,PRJEB24099,SAMEA104600195,,,,,,,R,,,,,,,,,
ERR2307403,PRJEB24099,SAMEA104600195,,,,,,,R,,,,,,,,,
ERR2307450,PRJEB24099,SAMEA104600241,,,,,R,,R,,,,,,R,,R,S
ERR2307451,PRJEB24099,SAMEA104600241,,,,,R,,R,,,,,,R,,R,S
ERR2307480,PRJEB24099,SAMEA104600270,S,,S,S,,S,,,S,S,S,S,R,,,
ERR2307481,PRJEB24099,SAMEA104600270,S,,S,S,,S,,,S,S,S,S,R,,,
ERR551235,PRJEB6273,SAMEA2533795,R,,R,S,R,,R,,S,S,S,S,R,R,R,R
ERR551484,PRJEB6273,SAMEA2533976,,,S,,R,,R,,,,S,,R,,R,S
ERR551485,PRJEB6273,SAMEA2533976,,,S,,R,,R,,,,S,,R,,R,S
ERR552429,PRJEB7281,SAMEA2534642,R,,R,S,R,R,R,,S,R,R,R,R,R,R,R
ERR552430,PRJEB6273,SAMEA2534642,R,,R,S,R,R,R,,S,R,R,R,R,R,R,R
ERR2307530,PRJEB24099,SAMEA104600318,,,,,R,,R,,,,,,S,,R,S
ERR2307531,PRJEB24099,SAMEA104600318,,,,,R,,R,,,,,,S,,R,S
ERR550833,PRJEB6273,SAMEA2533506,S,,S,S,R,S,R,,,,S,,R,,R,S
ERR550834,PRJEB6273,SAMEA2533506,S,,S,S,R,S,R,,,,S,,R,,R,S
ERR551036,PRJEB6273,SAMEA2533650,,,S,S,R,S,R,,S,,S,,R,,R,S
ERR551037,PRJEB6273,SAMEA2533650,,,S,S,R,S,R,,S,,S,,R,,R,S
ERR2307543,PRJEB24099,SAMEA104600330,,,,,R,,R,,,,,,R,,R,
ERR2307544,PRJEB24099,SAMEA104600330,,,,,R,,R,,,,,,R,,R,
ERR552001,PRJEB6273,SAMEA2534344,,,,,,,,,,,,,,,,
ERR552002,PRJEB6273,SAMEA2534344,,,,,,,,,,,,,,,,
ERR551869,PRJEB6273,SAMEA2534253,,,,,,,,,,,,,,,,
ERR551870,PRJEB6273,SAMEA2534253,,,,,,,,,,,,,,,,
ERR552450,PRJEB6273,SAMEA2534656,,,S,,R,,R,,,,S,,R,,R,R
ERR552451,PRJEB6273,SAMEA2534656,,,S,,R,,R,,,,S,,R,,R,R
ERR552452,PRJEB6273,SAMEA2534656,,,S,,R,,R,,,,S,,R,,R,R
ERR550719,PRJEB6273,SAMEA2533419,,,S,S,S,S,R,,,,S,,R,,R,S
ERR550720,PRJEB6273,SAMEA2533419,,,S,S,S,S,R,,,,S,,R,,R,S
ERR551443,PRJEB6273,SAMEA2533945,S,,S,R,S,R,R,,,,S,R,R,,R,S
ERR551444,PRJEB6273,SAMEA2533945,S,,S,R,S,R,R,,,,S,R,R,,R,S
ERR551445,PRJEB6273,SAMEA2533945,S,,S,R,S,R,R,,,,S,R,R,,R,S
ERR2307585,PRJEB24099,SAMEA104600370,,,,,R,,R,,,,,,R,,R,S
ERR2307586,PRJEB24099,SAMEA104600370,,,,,R,,R,,,,,,R,,R,S
ERR553067,PRJEB6273,SAMEA2535113,S,,S,S,R,S,R,,,,S,F,R,,R,R
ERR551261,PRJEB6273,SAMEA2533813,S,,S,S,S,S,R,,S,,S,,R,,R,S
ERR551262,PRJEB6273,SAMEA2533813,S,,S,S,S,S,R,,S,,S,,R,,R,S
ERR551263,PRJEB6273,SAMEA2533813,S,,S,S,S,S,R,,S,,S,,R,,R,S
ERR2307615,PRJEB24099,SAMEA104600399,,,,,R,,R,,,,,,R,,R,S
ERR2307616,PRJEB24099,SAMEA104600399,,,,,R,,R,,,,,,R,,R,S
ERR2307626,PRJEB24099,SAMEA104600409,,,,,R,,R,,,,,,R,,R,S
ERR2307627,PRJEB24099,SAMEA104600409,,,,,R,,R,,,,,,R,,R,S
ERR552910,PRJEB7281,SAMEA2534993,,,,,,,,,,,,,,,,
ERR552911,PRJEB7281,SAMEA2534993,,,,,,,,,,,,,,,,
ERR2307716,PRJEB24099,SAMEA104600492,,,,,R,,R,,,,,,R,,R,R
ERR2307717,PRJEB24099,SAMEA104600492,,,,,R,,R,,,,,,R,,R,R
ERR2307726,PRJEB24099,SAMEA104600499,,,,,R,,R,,,,,,R,,R,R
ERR2307727,PRJEB24099,SAMEA104600499,,,,,R,,R,,,,,,R,,R,R
ERR551369,PRJEB7281,SAMEA2533893,,,,,,,,,,,,,,,,
ERR551370,PRJEB7281,SAMEA2533893,,,,,,,,,,,,,,,,
