run,bioproject,study,biosample,sample,experiment,amikacin,bedaquiline,capreomycin,clofazimine,delamanid,ethionamide,ethambutol,isoniazid,kanamycin,levofloxacin,linezolid,moxifloxacin,pyrazinamide,rifampicin,streptomycin
ERR4799768,PRJEB41116,,,ERS5284823,ERX4669183,,,S,,,,,,S,,S,S,,,
ERR4799727,PRJEB41116,,,ERS5284782,ERX4669142,,,,,,R,,,S,S,,,,,
ERR4799744,PRJEB41116,,,ERS5284799,ERX4669159,S,,S,S,,R,,R,S,R,S,R,,R,
ERR4799756,PRJEB41116,,,ERS5284811,ERX4669171,,,S,,,,,,S,,S,S,,,
ERR4799748,PRJEB41116,,,ERS5284803,ERX4669163,S,,S,S,,S,,S,S,S,S,S,,S,
ERR4800205,PRJEB41116,,,ERS5285260,ERX4669620,S,,S,S,,R,,R,S,R,S,R,,R,
ERR4799764,PRJEB41116,,,ERS5284819,ERX4669179,,,S,,,,,,S,,S,S,,,
ERR4800250,PRJEB41116,,,ERS5285305,ERX4669665,,,,,,,,S,S,S,,,,S,
ERR4800248,PRJEB41116,,,ERS5285303,ERX4669663,,,S,,,,,,S,,S,S,,,
ERR4799759,PRJEB41116,,,ERS5284814,ERX4669174,,,,,,,,S,S,S,,,,S,
ERR4799742,PRJEB41116,,,ERS5284797,ERX4669157,S,,S,S,,S,,S,S,S,S,S,,S,
ERR4800234,PRJEB41116,,,ERS5285289,ERX4669649,S,,S,S,,S,,S,S,S,S,S,,S,
ERR4800225,PRJEB41116,,,ERS5285280,ERX4669640,S,,S,S,,S,,S,S,S,S,S,,S,
ERR4800251,PRJEB41116,,,ERS5285306,ERX4669666,,,,,,,,S,S,S,,,,S,
ERR4800476,PRJEB41116,,,ERS5285531,ERX4669891,S,,S,S,,R,,R,S,R,R,R,,R,
ERR4799753,PRJEB41116,,,ERS5284808,ERX4669168,S,,S,S,,S,,R,S,R,S,S,,R,
ERR4799733,PRJEB41116,,,ERS5284788,ERX4669148,,,,,,S,,S,S,S,,,,S,S
ERR4800028,PRJEB41116,,,ERS5285083,ERX4669443,,,S,,,,,,R,,S,S,,,
ERR4800007,PRJEB41116,,,ERS5285062,ERX4669422,S,,S,S,,S,,S,S,S,S,S,,S,
ERR4800006,PRJEB41116,,,ERS5285061,ERX4669421,S,,S,S,,R,,R,S,R,S,R,,R,
ERR4799995,PRJEB41116,,,ERS5285050,ERX4669410,S,,S,S,,S,,S,S,S,S,S,,S,
ERR4800058,PRJEB41116,,,ERS5285113,ERX4669473,S,,S,S,,S,,S,S,S,S,S,,S,
ERR4800014,PRJEB41116,,,ERS5285069,ERX4669429,S,,S,S,,R,,R,S,S,S,S,,S,
ERR4800016,PRJEB41116,,,ERS5285071,ERX4669431,S,,S,S,,S,,S,S,S,,S,,S,
ERR4799997,PRJEB41116,,,ERS5285052,ERX4669412,S,,S,S,,S,,R,S,R,,R,,R,R
ERR4800011,PRJEB41116,,,ERS5285066,ERX4669426,S,,S,S,,S,,R,S,S,S,S,,R,
ERR4800001,PRJEB41116,,,ERS5285056,ERX4669416,S,,S,S,,S,,R,S,S,S,S,,S,
ERR4800032,PRJEB41116,,,ERS5285087,ERX4669447,S,,S,S,,S,,S,S,S,S,S,,S,
ERR4800013,PRJEB41116,,,ERS5285068,ERX4669428,S,,S,S,,S,,R,S,S,S,S,,R,
ERR4800062,PRJEB41116,,,ERS5285117,ERX4669477,,,S,,,,,,S,,,,,,
ERR4800012,PRJEB41116,,,ERS5285067,ERX4669427,S,,S,S,,S,,S,S,S,S,S,S,S,
ERR4800034,PRJEB41116,,,ERS5285089,ERX4669449,S,,R,S,,R,,R,S,R,S,R,,R,
ERR4800053,PRJEB41116,,,ERS5285108,ERX4669468,,,,,,,,S,S,S,,,,S,
ERR4800029,PRJEB41116,,,ERS5285084,ERX4669444,S,,S,S,,S,,S,S,S,S,S,,S,
ERR4800009,PRJEB41116,,,ERS5285064,ERX4669424,S,,S,S,,S,,S,S,S,S,S,,S,
ERR4800021,PRJEB41116,,,ERS5285076,ERX4669436,S,,S,S,,S,,S,S,S,S,S,S,S,
ERR4800023,PRJEB41116,,,ERS5285078,ERX4669438,S,,S,S,,R,,R,S,R,S,R,,R,
ERR4800020,PRJEB41116,,,ERS5285075,ERX4669435,S,,S,S,,S,,S,S,S,S,S,,S,
ERR4800038,PRJEB41116,,,ERS5285093,ERX4669453,,,S,,,,,,S,,,,,,
ERR4800063,PRJEB41116,,,ERS5285118,ERX4669478,,,S,,,,,,S,,,,,,
ERR4800031,PRJEB41116,,,ERS5285086,ERX4669446,S,,S,S,,S,,S,S,S,S,S,,S,
ERR4800036,PRJEB41116,,,ERS5285091,ERX4669451,S,,S,S,,S,,S,S,S,S,S,,S,
ERR4800022,PRJEB41116,,,ERS5285077,ERX4669437,S,,S,S,,S,,S,S,S,S,S,,S,S
ERR4800041,PRJEB41116,,,ERS5285096,ERX4669456,S,,S,S,,S,,S,S,S,S,S,,S,
ERR4800015,PRJEB41116,,,ERS5285070,ERX4669430,,,,,,S,,R,S,S,,,,S,R
ERR4800005,PRJEB41116,,,ERS5285060,ERX4669420,S,,S,S,,S,,S,S,S,S,S,,S,
ERR4800055,PRJEB41116,,,ERS5285110,ERX4669470,,,,,,,,S,S,S,,,,S,
ERR4799998,PRJEB41116,,,ERS5285053,ERX4669413,S,,S,S,,S,,R,S,S,S,S,,S,
ERR4800064,PRJEB41116,,,ERS5285119,ERX4669479,,,S,,,,,,S,,S,S,,,
ERR4800061,PRJEB41116,,,ERS5285116,ERX4669476,,,S,,,,,,S,,S,S,,,
ERR4800025,PRJEB41116,,,ERS5285080,ERX4669440,,,,,,S,,S,S,S,,,,S,S
ERR4800018,PRJEB41116,,,ERS5285073,ERX4669433,S,,S,S,,S,,S,S,S,S,S,,S,
ERR4799999,PRJEB41116,,,ERS5285054,ERX4669414,S,,S,S,,S,,R,S,S,S,S,,R,
ERR4800057,PRJEB41116,,,ERS5285112,ERX4669472,S,,S,S,,S,,S,S,S,S,S,,S,
ERR4799996,PRJEB41116,,,ERS5285051,ERX4669411,S,,S,S,,R,,R,S,S,S,S,,S,
ERR4800026,PRJEB41116,,,ERS5285081,ERX4669441,S,,S,S,,S,,S,S,S,S,S,,S,
ERR4800035,PRJEB41116,,,ERS5285090,ERX4669450,S,,S,S,,S,,R,S,S,S,S,,R,
ERR4800039,PRJEB41116,,,ERS5285094,ERX4669454,S,,S,S,,S,,R,S,S,S,S,,R,
ERR4800033,PRJEB41116,,,ERS5285088,ERX4669448,S,,S,S,,S,,S,S,S,S,S,,S,
ERR4800024,PRJEB41116,,,ERS5285079,ERX4669439,S,,S,S,,R,,R,S,R,S,R,,R,
ERR4800046,PRJEB41116,,,ERS5285101,ERX4669461,S,,S,S,,S,,S,S,S,S,S,,S,
ERR4800042,PRJEB41116,,,ERS5285097,ERX4669457,S,,S,S,,S,,S,S,S,S,S,,S,
ERR4800000,PRJEB41116,,,ERS5285055,ERX4669415,S,,S,S,,R,,R,S,R,S,R,,R,
ERR4800050,PRJEB41116,,,ERS5285105,ERX4669465,,,,,,,,S,S,S,,,,S,
ERR4800067,PRJEB41116,,,ERS5285122,ERX4669482,,,S,,,,,,S,,S,S,,,
ERR4800070,PRJEB41116,,,ERS5285125,ERX4669485,,,S,,,,,,S,,S,S,,,
ERR4800049,PRJEB41116,,,ERS5285104,ERX4669464,S,,S,S,,S,,S,S,S,S,S,,S,S
ERR4799747,PRJEB41116,,,ERS5284802,ERX4669162,,,S,,,,,,S,,S,S,,,
ERR4800066,PRJEB41116,,,ERS5285121,ERX4669481,,,S,,,,,,S,,S,S,,,
ERR4800060,PRJEB41116,,,ERS5285115,ERX4669475,S,,S,S,,R,,R,R,R,R,R,,R,
ERR4800044,PRJEB41116,,,ERS5285099,ERX4669459,S,,S,S,,S,,R,S,S,S,S,,S,
ERR4800045,PRJEB41116,,,ERS5285100,ERX4669460,S,,S,S,,S,,S,S,S,S,S,,S,
ERR4800054,PRJEB41116,,,ERS5285109,ERX4669469,S,,S,S,,S,,S,S,S,S,S,,S,
ERR4800048,PRJEB41116,,,ERS5285103,ERX4669463,S,,S,S,,R,,R,S,R,S,R,,R,
ERR4800002,PRJEB41116,,,ERS5285057,ERX4669417,S,,S,S,,S,,S,S,S,S,S,,S,
ERR4800043,PRJEB41116,,,ERS5285098,ERX4669458,S,,S,S,,R,,R,S,R,S,R,,R,
ERR4800047,PRJEB41116,,,ERS5285102,ERX4669462,S,,S,S,,S,,S,S,S,S,S,,S,
ERR4800004,PRJEB41116,,,ERS5285059,ERX4669419,S,,S,S,,R,,R,S,R,S,R,,R,
ERR4800278,PRJEB41116,,,ERS5285333,ERX4669693,S,,S,S,,S,,R,S,R,S,R,,R,
ERR4800027,PRJEB41116,,,ERS5285082,ERX4669442,S,,S,S,,R,,R,S,R,S,S,,R,
ERR4800037,PRJEB41116,,,ERS5285092,ERX4669452,S,,S,S,,S,,S,S,S,S,S,,S,
ERR4800040,PRJEB41116,,,ERS5285095,ERX4669455,S,,S,S,,S,,S,S,S,S,S,,S,
ERR4800068,PRJEB41116,,,ERS5285123,ERX4669483,,,S,,,,,,S,,S,S,,,
ERR4799683,PRJEB41116,,,ERS5284738,ERX4669098,S,,S,S,,R,,R,S,R,S,R,,R,
ERR4800019,PRJEB41116,,,ERS5285074,ERX4669434,S,,S,S,,S,,S,S,S,S,S,,S,
ERR4800008,PRJEB41116,,,ERS5285063,ERX4669423,S,,S,S,,S,,S,S,S,S,S,,S,
ERR4800065,PRJEB41116,,,ERS5285120,ERX4669480,S,,S,S,,S,,S,,S,S,S,,S,
ERR4800017,PRJEB41116,,,ERS5285072,ERX4669432,S,,S,S,,S,,S,S,S,S,S,,S,
ERR4800056,PRJEB41116,,,ERS5285111,ERX4669471,S,,S,S,,S,,S,S,S,S,S,,S,
ERR4800010,PRJEB41116,,,ERS5285065,ERX4669425,S,,S,S,,S,,R,S,S,S,S,,S,
ERR4800255,PRJEB41116,,,ERS5285310,ERX4669670,S,,S,S,,S,,S,S,R,S,R,,S,
ERR4800246,PRJEB41116,,,ERS5285301,ERX4669661,S,,S,S,,S,,R,S,R,S,R,,R,
ERR4800240,PRJEB41116,,,ERS5285295,ERX4669655,S,,S,S,,S,,S,S,S,S,S,,S,
ERR4800252,PRJEB41116,,,ERS5285307,ERX4669667,S,,S,S,,S,,S,S,S,S,S,,S,
ERR4800236,PRJEB41116,,,ERS5285291,ERX4669651,S,,S,S,,R,,R,S,R,S,R,,R,
ERR4800263,PRJEB41116,,,ERS5285318,ERX4669678,S,,S,S,,S,,S,S,S,S,S,,S,
ERR4800224,PRJEB41116,,,ERS5285279,ERX4669639,S,,S,S,,S,,S,S,S,S,S,,S,
ERR4800256,PRJEB41116,,,ERS5285311,ERX4669671,S,,S,S,,S,,R,S,S,S,S,,R,
ERR4800254,PRJEB41116,,,ERS5285309,ERX4669669,S,,S,S,,S,,S,S,S,S,S,,S,
ERR4800233,PRJEB41116,,,ERS5285288,ERX4669648,S,,S,S,,S,,S,S,S,S,S,,S,
ERR4800259,PRJEB41116,,,ERS5285314,ERX4669674,S,,S,S,,S,,S,S,S,S,S,,S,
ERR4800302,PRJEB41116,,,ERS5285357,ERX4669717,,,S,,,,,,S,,,,,,
ERR4800221,PRJEB41116,,,ERS5285276,ERX4669636,S,,S,S,,R,,R,S,R,S,R,,R,R
ERR4800265,PRJEB41116,,,ERS5285320,ERX4669680,S,,S,S,,S,,S,S,S,S,S,,S,
ERR4800266,PRJEB41116,,,ERS5285321,ERX4669681,S,,S,S,,S,,S,S,S,S,S,,S,
ERR4800227,PRJEB41116,,,ERS5285282,ERX4669642,S,,S,S,,S,,S,S,S,S,S,,S,
ERR4800304,PRJEB41116,,,ERS5285359,ERX4669719,,,S,,,,,,R,,,,,,
ERR4800270,PRJEB41116,,,ERS5285325,ERX4669685,,,,S,,S,,S,,S,,S,,S,
ERR4800274,PRJEB41116,,,ERS5285329,ERX4669689,,,S,,,S,,S,S,S,,,,S,S
ERR4800260,PRJEB41116,,,ERS5285315,ERX4669675,S,,,,,S,,S,S,S,,,,S,
ERR4800247,PRJEB41116,,,ERS5285302,ERX4669662,S,,S,S,,S,,R,S,S,S,S,,S,
ERR4800232,PRJEB41116,,,ERS5285287,ERX4669647,S,,S,S,,S,,R,S,S,S,S,,R,
ERR4800281,PRJEB41116,,,ERS5285336,ERX4669696,,,,,,,,S,S,S,,,,S,
ERR4800305,PRJEB41116,,,ERS5285360,ERX4669720,,,S,,,,,,S,,S,S,,,
ERR4800264,PRJEB41116,,,ERS5285319,ERX4669679,,,,,,S,,S,S,S,,,,S,S
ERR4800300,PRJEB41116,,,ERS5285355,ERX4669715,,,R,,,,,,R,,S,S,,,
ERR4800223,PRJEB41116,,,ERS5285278,ERX4669638,S,,S,S,,S,,S,S,S,S,S,,S,
ERR4800294,PRJEB41116,,,ERS5285349,ERX4669709,,,S,,,,,,S,,S,S,,,
ERR4800257,PRJEB41116,,,ERS5285312,ERX4669672,,,,,,S,,S,S,S,,,,S,S
ERR4800235,PRJEB41116,,,ERS5285290,ERX4669650,S,,S,S,,S,,R,S,S,S,S,,R,
ERR4800238,PRJEB41116,,,ERS5285293,ERX4669653,S,,S,S,,S,,R,S,S,S,S,,S,
ERR4800289,PRJEB41116,,,ERS5285344,ERX4669704,S,,S,S,,S,,R,S,S,S,S,,S,
ERR4800230,PRJEB41116,,,ERS5285285,ERX4669645,,,S,S,,,,R,R,,,S,,R,
ERR4800269,PRJEB41116,,,ERS5285324,ERX4669684,S,,S,S,,S,,S,S,S,S,S,,S,
ERR4800271,PRJEB41116,,,ERS5285326,ERX4669686,S,,S,S,,R,,R,S,R,S,R,,R,
ERR4800267,PRJEB41116,,,ERS5285322,ERX4669682,S,,S,S,,S,,R,S,R,S,R,,R,R
ERR4800253,PRJEB41116,,,ERS5285308,ERX4669668,S,,S,S,,R,,R,S,S,S,S,,R,
ERR4800237,PRJEB41116,,,ERS5285292,ERX4669652,S,,S,S,,S,,S,S,S,S,S,,S,
ERR4800279,PRJEB41116,,,ERS5285334,ERX4669694,S,,S,S,,R,,R,S,S,S,S,,R,
ERR4800243,PRJEB41116,,,ERS5285298,ERX4669658,S,,S,S,,S,,R,S,S,S,S,,R,
ERR4800262,PRJEB41116,,,ERS5285317,ERX4669677,S,,S,S,,R,,R,S,S,S,S,,S,
ERR4800198,PRJEB41116,,,ERS5285253,ERX4669613,S,,S,S,,S,,S,S,S,S,S,,S,
ERR4800277,PRJEB41116,,,ERS5285332,ERX4669692,S,,S,S,,S,,S,S,S,S,S,,S,
ERR4800239,PRJEB41116,,,ERS5285294,ERX4669654,S,,S,S,,S,,S,S,S,S,S,,S,
ERR4800242,PRJEB41116,,,ERS5285297,ERX4669657,S,,S,S,,S,,S,S,S,S,S,,S,
ERR4800261,PRJEB41116,,,ERS5285316,ERX4669676,S,,S,S,,S,,R,S,S,S,S,,S,
ERR4800276,PRJEB41116,,,ERS5285331,ERX4669691,S,,S,S,,S,,R,S,R,S,R,,R,
ERR4800258,PRJEB41116,,,ERS5285313,ERX4669673,S,,S,S,,S,,S,S,S,S,S,,S,
ERR4800309,PRJEB41116,,,ERS5285364,ERX4669724,S,,R,S,,S,,R,R,R,R,R,,R,R
ERR4800303,PRJEB41116,,,ERS5285358,ERX4669718,,,,S,,,,,,,S,R,,,
ERR4800288,PRJEB41116,,,ERS5285343,ERX4669703,S,,,,,,,S,S,S,,S,,S,S
ERR4800273,PRJEB41116,,,ERS5285328,ERX4669688,S,,S,S,,S,,S,S,S,S,S,,S,
ERR4800249,PRJEB41116,,,ERS5285304,ERX4669664,S,,S,S,,S,,S,S,S,S,S,,S,S
ERR4800268,PRJEB41116,,,ERS5285323,ERX4669683,S,,S,S,,S,,R,S,R,S,R,,R,
ERR4800290,PRJEB41116,,,ERS5285345,ERX4669705,S,,S,S,,S,,S,S,S,S,S,,R,
ERR4800272,PRJEB41116,,,ERS5285327,ERX4669687,S,,S,S,,S,,R,S,S,S,S,,S,
ERR4800287,PRJEB41116,,,ERS5285342,ERX4669702,S,,S,S,,S,,R,S,R,S,R,,R,
ERR4800283,PRJEB41116,,,ERS5285338,ERX4669698,S,,S,S,,S,,S,S,S,S,S,,S,
ERR4800282,PRJEB41116,,,ERS5285337,ERX4669697,S,,S,S,,S,,R,S,R,S,R,,R,
ERR4800280,PRJEB41116,,,ERS5285335,ERX4669695,S,,S,S,,S,,R,S,S,S,S,,S,
ERR4800285,PRJEB41116,,,ERS5285340,ERX4669700,S,,S,S,,S,,S,S,S,S,S,,S,
ERR4800087,PRJEB41116,,,ERS5285142,ERX4669502,,,,,,,,S,S,S,,,,S,
ERR4800003,PRJEB41116,,,ERS5285058,ERX4669418,S,,S,S,,S,,R,S,S,S,S,,S,
ERR4800072,PRJEB41116,,,ERS5285127,ERX4669487,,,,,,S,,S,S,S,,,,S,S
ERR4800081,PRJEB41116,,,ERS5285136,ERX4669496,S,,S,S,,S,,R,S,S,S,S,,R,
ERR4800086,PRJEB41116,,,ERS5285141,ERX4669501,,,,,,,,R,S,S,,,,R,
ERR4800078,PRJEB41116,,,ERS5285133,ERX4669493,S,,S,S,,S,,S,S,S,S,S,,S,
ERR4800332,PRJEB41116,,,ERS5285387,ERX4669747,,,S,,,,,,S,,S,S,,,
ERR4800085,PRJEB41116,,,ERS5285140,ERX4669500,,,S,,,,,,S,,S,S,,,
ERR4800079,PRJEB41116,,,ERS5285134,ERX4669494,,,S,,,,,,S,,S,S,,,
ERR4800074,PRJEB41116,,,ERS5285129,ERX4669489,S,,S,S,,R,,R,S,S,S,S,,R,
ERR4800076,PRJEB41116,,,ERS5285131,ERX4669491,S,,S,S,,R,,R,S,S,S,S,,S,S
ERR4800082,PRJEB41116,,,ERS5285137,ERX4669497,S,,S,S,,S,,S,S,S,S,S,,S,
ERR4800071,PRJEB41116,,,ERS5285126,ERX4669486,S,,S,S,,R,,R,S,R,S,R,,R,
ERR4800088,PRJEB41116,,,ERS5285143,ERX4669503,,,,,,,,S,S,,,,,S,
ERR4800069,PRJEB41116,,,ERS5285124,ERX4669484,S,,S,S,,S,,S,S,S,S,S,,S,
ERR4800299,PRJEB41116,,,ERS5285354,ERX4669714,S,,S,S,,S,,S,S,S,S,S,,S,
ERR4800352,PRJEB41116,,,ERS5285407,ERX4669767,S,,S,S,,S,,R,S,S,S,S,,R,
ERR4800399,PRJEB41116,,,ERS5285454,ERX4669814,R,,R,S,,R,,R,R,R,S,R,,R,R
ERR4800400,PRJEB41116,,,ERS5285455,ERX4669815,,,,,,S,,S,S,S,,,,S,S
ERR4800401,PRJEB41116,,,ERS5285456,ERX4669816,,,,,,S,,S,S,S,,S,,S,S
ERR4800241,PRJEB41116,,,ERS5285296,ERX4669656,S,,S,S,,R,,R,S,R,S,R,,R,
ERR4800307,PRJEB41116,,,ERS5285362,ERX4669722,,,,,,S,,S,S,S,,,,S,
ERR4800340,PRJEB41116,,,ERS5285395,ERX4669755,S,,S,S,,S,,S,S,S,S,S,,S,S
ERR4800310,PRJEB41116,,,ERS5285365,ERX4669725,S,,S,S,,S,,S,S,S,S,S,,S,
ERR4800323,PRJEB41116,,,ERS5285378,ERX4669738,S,,S,S,,S,,S,S,S,S,S,,S,
ERR4800284,PRJEB41116,,,ERS5285339,ERX4669699,S,,S,S,,R,,R,R,R,S,R,,R,
ERR4800244,PRJEB41116,,,ERS5285299,ERX4669659,S,,S,,,S,,S,S,S,S,S,,S,
ERR4800308,PRJEB41116,,,ERS5285363,ERX4669723,S,,S,S,,R,,R,S,R,S,R,,R,
ERR4800314,PRJEB41116,,,ERS5285369,ERX4669729,S,,S,S,,S,,S,S,S,S,S,,S,S
ERR4800320,PRJEB41116,,,ERS5285375,ERX4669735,S,,S,S,,S,,S,S,S,S,S,,S,S
ERR4800346,PRJEB41116,,,ERS5285401,ERX4669761,S,,S,S,,S,,S,S,S,S,S,,S,
ERR4800363,PRJEB41116,,,ERS5285418,ERX4669778,S,,S,S,,R,,R,S,R,S,R,,R,
ERR4800337,PRJEB41116,,,ERS5285392,ERX4669752,S,,S,S,,R,,R,R,R,S,R,,R,
ERR4800328,PRJEB41116,,,ERS5285383,ERX4669743,S,,S,S,,S,,R,S,S,S,S,,R,
ERR4800338,PRJEB41116,,,ERS5285393,ERX4669753,S,,S,S,,S,,S,S,S,S,S,,S,
ERR4800329,PRJEB41116,,,ERS5285384,ERX4669744,S,,S,S,,S,,S,S,S,S,S,,S,
ERR4800291,PRJEB41116,,,ERS5285346,ERX4669706,S,,S,S,,S,,R,S,R,S,R,,R,
ERR4800344,PRJEB41116,,,ERS5285399,ERX4669759,S,,S,S,,R,,R,S,R,S,R,,R,
ERR4800084,PRJEB41116,,,ERS5285139,ERX4669499,,,S,,,,,,S,,S,S,,,
ERR4800327,PRJEB41116,,,ERS5285382,ERX4669742,,,,,,S,,S,S,S,,,,S,S
ERR4800292,PRJEB41116,,,ERS5285347,ERX4669707,S,,S,S,,S,,R,S,R,S,R,,R,
ERR4800295,PRJEB41116,,,ERS5285350,ERX4669710,S,,S,S,,S,,S,S,S,S,S,,S,
ERR4800298,PRJEB41116,,,ERS5285353,ERX4669713,S,,S,S,,S,,R,S,S,S,S,,S,
ERR4800316,PRJEB41116,,,ERS5285371,ERX4669731,S,,S,S,,S,,S,S,S,S,S,,S,
ERR4800325,PRJEB41116,,,ERS5285380,ERX4669740,S,,S,S,,S,,S,S,S,S,S,,S,
ERR4800334,PRJEB41116,,,ERS5285389,ERX4669749,S,,S,S,,S,,S,S,S,S,S,,S,
ERR4800349,PRJEB41116,,,ERS5285404,ERX4669764,,,S,,,,,,S,,S,S,,,
ERR4800335,PRJEB41116,,,ERS5285390,ERX4669750,S,,S,S,,R,,R,S,R,S,R,,R,
ERR4800369,PRJEB41116,,,ERS5285424,ERX4669784,S,,S,S,,S,,S,S,S,S,S,,S,
ERR4800345,PRJEB41116,,,ERS5285400,ERX4669760,S,,S,S,,S,,S,S,S,S,S,,S,
ERR4800210,PRJEB41116,,,ERS5285265,ERX4669625,S,,S,S,,R,,R,S,S,S,S,,S,
ERR4800312,PRJEB41116,,,ERS5285367,ERX4669727,S,,S,S,,S,,S,S,S,S,S,,S,
ERR4800297,PRJEB41116,,,ERS5285352,ERX4669712,S,,S,S,,S,,S,S,S,S,S,,S,
ERR4800366,PRJEB41116,,,ERS5285421,ERX4669781,S,,S,S,,S,,S,S,S,S,S,,S,
ERR4800319,PRJEB41116,,,ERS5285374,ERX4669734,S,,S,S,,R,,R,S,S,S,S,,R,
ERR4800073,PRJEB41116,,,ERS5285128,ERX4669488,S,,S,S,,R,,R,S,R,S,R,,R,
ERR4800083,PRJEB41116,,,ERS5285138,ERX4669498,R,,R,S,,R,,R,R,R,S,R,,R,
ERR4800075,PRJEB41116,,,ERS5285130,ERX4669490,,,,,,S,,R,S,S,,,,S,R
ERR4800051,PRJEB41116,,,ERS5285106,ERX4669466,S,,S,S,,S,,R,S,S,S,S,,R,
ERR4800080,PRJEB41116,,,ERS5285135,ERX4669495,S,,S,S,,R,,R,S,R,S,R,,R,
ERR4800090,PRJEB41116,,,ERS5285145,ERX4669505,,,S,,,,,,S,,S,S,,,
ERR4800089,PRJEB41116,,,ERS5285144,ERX4669504,,,S,,,,,,S,,S,S,,,
ERR4800059,PRJEB41116,,,ERS5285114,ERX4669474,S,,S,S,,R,,R,S,R,S,S,,R,
ERR4800091,PRJEB41116,,,ERS5285146,ERX4669506,,,R,,,,,,R,,S,S,,,
ERR4800077,PRJEB41116,,,ERS5285132,ERX4669492,,,S,,,,,,S,,S,S,,,
ERR4800217,PRJEB41116,,,ERS5285272,ERX4669632,S,,S,S,,S,,R,S,S,S,S,,R,
ERR4800358,PRJEB41116,,,ERS5285413,ERX4669773,,,,,,,,R,S,S,,,,S,
ERR4800368,PRJEB41116,,,ERS5285423,ERX4669783,,,,,,,,S,S,S,,,,S,
ERR4800367,PRJEB41116,,,ERS5285422,ERX4669782,,,S,,,,,,S,,S,S,,,
ERR4800364,PRJEB41116,,,ERS5285419,ERX4669779,,,S,,,,,,S,,S,S,,,
ERR4800377,PRJEB41116,,,ERS5285432,ERX4669792,,,S,,,,,,S,,S,S,,,
ERR4800376,PRJEB41116,,,ERS5285431,ERX4669791,,,S,,,,,,S,,S,S,,,
ERR4800361,PRJEB41116,,,ERS5285416,ERX4669776,S,,S,S,,R,,R,S,R,S,R,,R,
ERR4800355,PRJEB41116,,,ERS5285410,ERX4669770,S,,S,S,,S,,S,S,S,S,S,,S,
ERR4800375,PRJEB41116,,,ERS5285430,ERX4669790,,,R,,,,,,R,,,,,,
ERR4800378,PRJEB41116,,,ERS5285433,ERX4669793,,,S,,,,,,S,,,,,,
ERR4800315,PRJEB41116,,,ERS5285370,ERX4669730,,,S,,,,,,S,,S,S,,,
ERR4800322,PRJEB41116,,,ERS5285377,ERX4669737,S,,S,S,,R,,R,S,R,S,S,,R,
ERR4800343,PRJEB41116,,,ERS5285398,ERX4669758,S,,S,S,,S,,S,S,S,S,S,,S,
ERR4800318,PRJEB41116,,,ERS5285373,ERX4669733,S,,S,S,,S,,S,S,S,S,S,,S,
ERR4800351,PRJEB41116,,,ERS5285406,ERX4669766,S,,S,S,,S,,S,S,S,S,S,,S,
ERR4800339,PRJEB41116,,,ERS5285394,ERX4669754,,,,,,,,S,S,S,,,,S,
ERR4800336,PRJEB41116,,,ERS5285391,ERX4669751,S,,S,S,,S,,S,S,S,S,S,,S,
ERR4800301,PRJEB41116,,,ERS5285356,ERX4669716,,,,,,,,S,S,S,,,,S,
ERR4800347,PRJEB41116,,,ERS5285402,ERX4669762,R,,R,S,,,,,,,,R,,,
ERR4800326,PRJEB41116,,,ERS5285381,ERX4669741,S,,S,S,,S,,R,S,S,S,S,,R,
ERR4800342,PRJEB41116,,,ERS5285397,ERX4669757,,,,,,,,R,S,,,,,S,S
ERR4800370,PRJEB41116,,,ERS5285425,ERX4669785,,,,,,,,S,S,,,,,S,
ERR4800354,PRJEB41116,,,ERS5285409,ERX4669769,S,,S,S,,R,,R,S,,S,,,R,
ERR4800413,PRJEB41116,,,ERS5285468,ERX4669828,S,,S,S,,S,,R,S,S,S,S,,R,
ERR4800371,PRJEB41116,,,ERS5285426,ERX4669786,S,,S,S,,R,,R,S,S,S,S,,R,
ERR4800360,PRJEB41116,,,ERS5285415,ERX4669775,S,,S,S,,R,,R,S,R,S,R,,R,
ERR4800374,PRJEB41116,,,ERS5285429,ERX4669789,,,,,,,,S,S,S,,,,S,S
ERR4800311,PRJEB41116,,,ERS5285366,ERX4669726,,,,,,S,,S,S,S,,,,S,S
ERR4800356,PRJEB41116,,,ERS5285411,ERX4669771,,,,,,S,,S,S,S,,,,S,S
ERR4800359,PRJEB41116,,,ERS5285414,ERX4669774,S,,S,S,,S,,S,S,S,S,S,,S,
ERR4800313,PRJEB41116,,,ERS5285368,ERX4669728,S,,S,S,,S,,S,S,S,S,S,,S,
ERR4800348,PRJEB41116,,,ERS5285403,ERX4669763,S,,S,S,,R,,R,R,R,S,R,,R,
ERR4800350,PRJEB41116,,,ERS5285405,ERX4669765,S,,S,S,,S,,S,S,S,S,S,,S,
ERR4800372,PRJEB41116,,,ERS5285427,ERX4669787,S,,S,S,,S,,S,S,S,S,S,,S,
ERR4800321,PRJEB41116,,,ERS5285376,ERX4669736,S,,S,S,,R,,R,S,R,S,R,,R,
ERR4800293,PRJEB41116,,,ERS5285348,ERX4669708,S,,S,S,,R,,R,S,R,S,R,,R,R
ERR4800296,PRJEB41116,,,ERS5285351,ERX4669711,S,,S,S,,S,,R,R,R,S,R,,R,
ERR4800331,PRJEB41116,,,ERS5285386,ERX4669746,S,,S,S,,R,,R,S,R,S,R,,R,
