accession,rifampicin,isoniazid,pyrazinamide,ethambutol,streptomycin,fluoroquinolones,moxifloxacin,ofloxacin,levofloxacin,ciprofloxacin,aminoglycosides,amikacin,kanamycin,capreomycin,ethionamide,para-aminosalicylic_acid,cycloserine
ERR1873476,R,R,R,R,R,ND,R,R,ND,ND,ND,R,R,R,S,S,R
ERR1873516,R,R,R,S,R,ND,R,R,ND,ND,ND,R,R,R,S,S,R
ERR1873439,R,R,R,R,R,ND,R,R,ND,ND,ND,R,R,R,R,S,R
ERR1873454,R,R,R,R,R,ND,R,R,ND,ND,ND,R,R,R,R,S,R
ERR1873453,R,R,R,R,R,ND,R,R,ND,ND,ND,R,R,R,R,S,R
SRR5894881,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
ERR158616,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
ERR228062,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
ERR144567,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
SRR671759,R,R,ND,R,R,ND,ND,R,ND,ND,ND,ND,R,S,R,ND,ND
ERR3610844,R,R,S,R,ND,ND,R,R,ND,ND,ND,R,R,ND,R,ND,ND
SRR8651654,R,R,R,R,R,ND,R,ND,R,ND,ND,R,R,R,ND,R,ND
SRR5894885,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
SRR671863,R,R,ND,R,S,ND,ND,R,ND,ND,ND,ND,R,R,S,ND,ND
SRR671864,R,R,ND,R,S,ND,ND,R,ND,ND,ND,ND,R,R,S,ND,ND
SRR8651564,R,R,R,R,R,ND,R,ND,R,ND,ND,R,R,S,ND,S,ND
SRR8651589,R,R,R,S,S,ND,S,ND,R,ND,ND,R,R,R,ND,S,ND
SRR671785,R,R,ND,R,R,ND,ND,R,ND,ND,ND,ND,R,S,R,ND,ND
ERR1034787,R,R,R,S,R,ND,ND,ND,ND,R,ND,ND,R,S,R,S,S
SRR8651576,R,R,R,R,R,ND,R,ND,R,ND,ND,R,R,R,ND,S,ND
SRR671815,R,R,ND,R,R,ND,ND,R,ND,ND,ND,ND,R,R,R,ND,ND
ERR3610870,R,R,R,S,ND,ND,R,R,ND,ND,ND,S,R,ND,S,ND,ND
SRR671761,R,R,ND,R,R,ND,ND,R,ND,ND,ND,ND,R,R,R,ND,ND
M04664-57,R,R,ND,S,R,ND,ND,R,ND,ND,ND,ND,R,S,ND,S,ND
M04702-57,R,R,ND,R,R,ND,ND,R,ND,ND,ND,ND,R,S,ND,S,ND
M05140-57,R,R,ND,R,R,ND,ND,R,ND,ND,ND,ND,R,S,ND,S,ND
