run,bioproject,biosample,isoniazid,rifampicin,ethambutol,pyrazinamide,amikacin,capreomycin,kanamycin,moxifloxacin,levofloxacin
ERR7911070,PRJEB48275,SAMEA10030053,R,R,,S,S,S,S,R,S
ERR7911076,PRJEB48275,SAMEA10030054,R,R,,R,S,S,S,S,S
ERR7911071,PRJEB48275,SAMEA10030055,S,S,,S,S,S,S,S,S
ERR7911072,PRJEB48275,SAMEA10030056,S,R,,R,S,S,S,R,S
ERR7911074,PRJEB48275,SAMEA10030057,R,R,,R,S,S,S,S,S
ERR7911336,PRJEB48275,SAMEA10030058,R,R,R,R,S,S,S,S,S
ERR7911335,PRJEB48275,SAMEA10030059,R,R,R,R,S,S,S,S,S
ERR7911377,PRJEB48275,SAMEA10030060,R,R,,R,S,S,R,S,S
ERR7911337,PRJEB48275,SAMEA10030061,R,R,R,R,S,S,S,S,S
ERR7911338,PRJEB48275,SAMEA10030062,R,R,R,R,S,S,S,S,S
ERR7911378,PRJEB48275,SAMEA10030063,R,R,,R,S,S,S,S,S
ERR7911379,PRJEB48275,SAMEA10030064,R,R,,R,S,S,S,S,S
ERR7910949,PRJEB48275,SAMEA10030065,R,R,R,R,S,S,R,S,S
ERR7910950,PRJEB48275,SAMEA10030066,R,R,R,R,S,S,S,R,R
ERR7911380,PRJEB48275,SAMEA10030067,R,R,,S,S,S,S,S,S
ERR7911381,PRJEB48275,SAMEA10030067,R,R,,S,S,S,S,S,S
ERR7911382,PRJEB48275,SAMEA10030068,R,R,,R,S,S,S,R,R
ERR7911383,PRJEB48275,SAMEA10030069,R,R,,R,S,S,R,S,S
ERR7911384,PRJEB48275,SAMEA10030070,R,R,,R,S,S,S,S,S
ERR7911385,PRJEB48275,SAMEA10030071,R,R,,R,R,S,R,R,R
ERR7911386,PRJEB48275,SAMEA10030072,R,R,,R,S,S,S,R,S
ERR7911387,PRJEB48275,SAMEA10030073,R,R,,S,S,S,S,S,R
ERR7911388,PRJEB48275,SAMEA10030074,R,R,,R,R,S,R,R,R
ERR7911389,PRJEB48275,SAMEA10030075,R,S,,R,R,R,R,S,S
ERR7911390,PRJEB48275,SAMEA10030076,R,R,,S,R,R,R,S,S
ERR7912728,PRJEB48275,SAMEA10030077,R,R,,R,R,R,R,S,S
ERR7911391,PRJEB48275,SAMEA10030078,R,R,,,S,S,R,S,S
ERR7911392,PRJEB48275,SAMEA10030079,R,R,,R,R,S,R,R,R
ERR7911393,PRJEB48275,SAMEA10030080,R,R,,R,S,S,R,R,R
ERR7911394,PRJEB48275,SAMEA10030080,R,R,,R,S,S,R,R,R
ERR7911395,PRJEB48275,SAMEA10030081,R,R,,R,S,S,R,R,R
ERR7911396,PRJEB48275,SAMEA10030081,R,R,,R,S,S,R,R,R
ERR7911397,PRJEB48275,SAMEA10030081,R,R,,R,S,S,R,R,R
ERR7911398,PRJEB48275,SAMEA10030082,R,R,,R,S,S,S,S,S
ERR7911399,PRJEB48275,SAMEA10030083,R,R,,R,S,S,S,S,S
ERR7911400,PRJEB48275,SAMEA10030084,S,R,,S,S,S,S,S,S
ERR7911401,PRJEB48275,SAMEA10030085,R,R,,R,S,S,S,R,R
ERR7911402,PRJEB48275,SAMEA10030086,R,R,,R,S,S,R,S,S
ERR7911403,PRJEB48275,SAMEA10030087,R,R,,R,S,S,S,S,S
ERR7911404,PRJEB48275,SAMEA10030088,R,R,,R,S,S,S,S,S
ERR7911405,PRJEB48275,SAMEA10030089,R,R,,,S,S,S,S,S
ERR7911406,PRJEB48275,SAMEA10030090,R,R,,R,S,S,S,R,R
ERR7911407,PRJEB48275,SAMEA10030091,S,S,,,S,S,S,S,S
ERR7911408,PRJEB48275,SAMEA10030092,R,R,,,S,S,R,R,R
ERR7911409,PRJEB48275,SAMEA10030093,R,R,,R,S,S,S,R,R
ERR7911410,PRJEB48275,SAMEA10030094,R,R,,R,S,S,R,S,S
ERR7911411,PRJEB48275,SAMEA10030095,R,R,,S,S,S,S,S,S
ERR7911412,PRJEB48275,SAMEA10030096,R,R,,R,S,S,S,S,S
ERR7911413,PRJEB48275,SAMEA10030097,R,S,,,S,S,S,S,S
ERR7911414,PRJEB48275,SAMEA10030098,R,R,,R,S,S,S,R,R
ERR7911415,PRJEB48275,SAMEA10030099,R,R,,R,S,S,S,S,S
ERR7911416,PRJEB48275,SAMEA10030100,R,R,,R,S,S,R,R,R
ERR7911417,PRJEB48275,SAMEA10030101,R,R,,R,S,R,R,R,R
ERR7911418,PRJEB48275,SAMEA10030102,R,R,,,R,S,R,S,S
ERR7911419,PRJEB48275,SAMEA10030103,R,R,,,S,S,S,S,S
ERR7911420,PRJEB48275,SAMEA10030104,R,R,,S,S,S,S,S,S
ERR7911421,PRJEB48275,SAMEA10030105,R,R,,R,R,R,R,R,R
ERR7911422,PRJEB48275,SAMEA10030106,R,R,,R,S,S,R,R,R
ERR7911423,PRJEB48275,SAMEA10030107,R,R,,R,S,S,S,S,S
ERR7911424,PRJEB48275,SAMEA10030108,R,R,,R,S,S,S,S,S
ERR7911425,PRJEB48275,SAMEA10030109,R,R,,R,S,S,S,S,S
ERR7911426,PRJEB48275,SAMEA10030110,R,R,,R,S,S,S,S,S
ERR7911427,PRJEB48275,SAMEA10030111,R,R,,,S,S,R,S,S
ERR7911709,PRJEB48275,SAMEA10030112,R,R,,S,S,S,S,S,S
ERR7911710,PRJEB48275,SAMEA10030113,R,R,,R,S,S,R,S,S
ERR7911711,PRJEB48275,SAMEA10030114,R,R,,R,S,S,S,S,S
ERR7911712,PRJEB48275,SAMEA10030115,R,R,,S,S,S,S,S,S
ERR7911713,PRJEB48275,SAMEA10030116,R,R,,R,S,S,S,S,S
ERR7911714,PRJEB48275,SAMEA10030117,R,R,,R,S,S,S,S,S
ERR7911715,PRJEB48275,SAMEA10030118,R,S,,S,S,S,S,S,S
ERR7911717,PRJEB48275,SAMEA10030119,R,R,,S,S,S,S,S,S
ERR7911718,PRJEB48275,SAMEA10030120,R,R,,R,S,S,S,S,S
ERR7911719,PRJEB48275,SAMEA10030121,R,R,,R,S,S,R,R,R
ERR7911720,PRJEB48275,SAMEA10030122,R,R,,R,S,S,S,S,S
ERR7911721,PRJEB48275,SAMEA10030123,R,R,,,S,S,S,S,S
ERR7911722,PRJEB48275,SAMEA10030124,R,R,,R,S,S,S,S,S
ERR7911723,PRJEB48275,SAMEA10030125,R,R,,R,R,S,R,R,R
ERR7911724,PRJEB48275,SAMEA10030126,R,R,,S,S,S,S,S,S
ERR7911725,PRJEB48275,SAMEA10030127,R,R,,R,S,S,S,S,S
ERR7911726,PRJEB48275,SAMEA10030128,,R,,,,S,,S,S
ERR7911727,PRJEB48275,SAMEA10030129,R,R,,,,S,S,S,S
ERR7911728,PRJEB48275,SAMEA10030130,R,R,,S,S,,S,S,
ERR7911729,PRJEB48275,SAMEA10030131,R,R,,S,S,S,S,S,S
ERR7911730,PRJEB48275,SAMEA10030132,S,S,,,,,S,S,S
ERR7911731,PRJEB48275,SAMEA10030133,R,R,,,S,S,,S,S
ERR7911732,PRJEB48275,SAMEA10030134,R,R,,R,S,S,S,,S
ERR7911733,PRJEB48275,SAMEA10030135,R,R,,,R,S,R,S,S
ERR7911734,PRJEB48275,SAMEA10030136,R,R,,R,S,S,S,S,S
ERR7911735,PRJEB48275,SAMEA10030137,R,R,,,S,,,,
ERR7911736,PRJEB48275,SAMEA10030138,R,R,,R,S,S,S,S,S
ERR7911737,PRJEB48275,SAMEA10030139,R,R,,R,S,S,S,S,S
ERR7911738,PRJEB48275,SAMEA10030140,R,R,,,R,S,R,S,S
ERR7911739,PRJEB48275,SAMEA10030141,R,R,,R,S,S,,S,
ERR7911740,PRJEB48275,SAMEA10030142,R,R,,,S,S,S,S,S
ERR7911741,PRJEB48275,SAMEA10030143,R,R,,R,S,S,R,S,S
ERR7911742,PRJEB48275,SAMEA10030144,R,R,,R,,,R,S,S
ERR7911743,PRJEB48275,SAMEA10030145,R,R,,R,S,S,S,S,S
ERR7911744,PRJEB48275,SAMEA10030146,R,,,,,,,,R
ERR7911745,PRJEB48275,SAMEA10030147,R,R,,,S,S,S,S,S
ERR7911746,PRJEB48275,SAMEA10030148,R,R,,S,S,S,S,S,S
ERR7911747,PRJEB48275,SAMEA10030149,R,R,,R,S,S,R,S,S
ERR7911748,PRJEB48275,SAMEA10030150,R,R,,S,S,S,S,S,S
ERR7911749,PRJEB48275,SAMEA10030151,R,R,,R,S,S,S,S,S
ERR7911750,PRJEB48275,SAMEA10030152,R,R,,R,S,S,S,S,S
ERR7911752,PRJEB48275,SAMEA10030153,R,R,,R,R,S,R,S,S
ERR7911753,PRJEB48275,SAMEA10030154,R,R,,,S,S,S,R,R
ERR7911189,PRJEB48275,SAMEA10030155,R,R,S,S,S,S,S,S,S
ERR7911190,PRJEB48275,SAMEA10030156,R,R,R,R,S,S,S,S,S
ERR7911191,PRJEB48275,SAMEA10030157,R,R,R,R,S,S,S,S,S
ERR7911192,PRJEB48275,SAMEA10030158,R,S,R,R,S,R,S,R,R
ERR7911193,PRJEB48275,SAMEA10030159,R,R,R,S,S,S,S,S,S
ERR7911194,PRJEB48275,SAMEA10030160,R,R,S,S,S,S,S,S,S
ERR7911428,PRJEB48275,SAMEA10030161,R,S,,R,S,S,S,S,S
ERR7911195,PRJEB48275,SAMEA10030162,R,R,R,R,S,S,S,S,S
ERR7911196,PRJEB48275,SAMEA10030163,R,R,,R,S,S,S,R,S
ERR7911197,PRJEB48275,SAMEA10030164,R,R,,R,S,S,S,R,S
ERR7911198,PRJEB48275,SAMEA10030165,R,R,R,R,S,S,S,S,S
ERR7911199,PRJEB48275,SAMEA10030166,R,R,R,R,S,S,S,S,S
ERR7911200,PRJEB48275,SAMEA10030167,R,R,S,R,S,S,S,S,S
ERR7911201,PRJEB48275,SAMEA10030169,R,R,S,R,S,S,S,S,S
ERR7911202,PRJEB48275,SAMEA10030170,R,R,S,R,S,S,S,S,S
ERR7911203,PRJEB48275,SAMEA10030171,R,R,R,S,S,S,S,S,S
ERR7911204,PRJEB48275,SAMEA10030172,R,R,R,R,S,S,S,S,S
ERR7911429,PRJEB48275,SAMEA10030173,R,R,,R,S,S,S,S,S
ERR7911205,PRJEB48275,SAMEA10030174,R,R,R,R,S,S,S,S,S
ERR7911206,PRJEB48275,SAMEA10030175,R,R,S,R,S,S,S,R,R
ERR7911430,PRJEB48275,SAMEA10030176,R,S,,R,S,S,S,R,R
ERR7911207,PRJEB48275,SAMEA10030177,R,R,,R,S,S,S,S,S
ERR7911208,PRJEB48275,SAMEA10030178,R,R,R,R,S,S,S,R,R
ERR7911209,PRJEB48275,SAMEA10030179,R,R,S,R,S,S,S,S,S
ERR7911210,PRJEB48275,SAMEA10030180,R,R,S,R,S,S,S,S,S
ERR7911211,PRJEB48275,SAMEA10030181,R,R,R,R,S,S,S,S,S
ERR7911431,PRJEB48275,SAMEA10030182,R,R,,R,S,S,S,S,S
ERR7911432,PRJEB48275,SAMEA10030183,R,R,,R,S,S,S,S,S
ERR7911212,PRJEB48275,SAMEA10030184,S,R,S,S,S,S,S,S,S
ERR7911213,PRJEB48275,SAMEA10030185,R,R,R,R,S,S,S,S,S
ERR7911214,PRJEB48275,SAMEA10030186,R,R,R,S,R,R,R,S,S
ERR7911215,PRJEB48275,SAMEA10030187,S,R,S,S,S,S,S,S,S
ERR7911216,PRJEB48275,SAMEA10030188,R,R,S,S,S,S,S,S,S
ERR7911433,PRJEB48275,SAMEA10030189,S,R,,R,S,S,S,S,S
ERR7911217,PRJEB48275,SAMEA10030190,S,S,S,S,S,S,S,S,S
ERR7911434,PRJEB48275,SAMEA10030191,S,R,,,S,S,S,S,S
ERR7911435,PRJEB48275,SAMEA10030192,R,R,,R,S,S,S,S,S
ERR7911436,PRJEB48275,SAMEA10030193,S,R,,,S,S,S,S,S
ERR7911437,PRJEB48275,SAMEA10030194,R,R,,R,S,S,S,S,S
ERR7911438,PRJEB48275,SAMEA10030195,R,R,,,S,S,S,S,S
ERR7911439,PRJEB48275,SAMEA10030196,S,R,,,S,S,S,S,S
ERR7911440,PRJEB48275,SAMEA10030197,R,R,,S,S,S,S,S,S
ERR7911441,PRJEB48275,SAMEA10030198,R,R,,R,S,S,S,S,S
ERR7911442,PRJEB48275,SAMEA10030199,R,R,,,S,S,S,S,S
ERR7911443,PRJEB48275,SAMEA10030200,R,R,,R,S,S,S,S,S
ERR7911444,PRJEB48275,SAMEA10030201,R,R,,R,S,S,S,S,S
ERR7911445,PRJEB48275,SAMEA10030202,S,R,,,S,S,S,S,S
ERR7911446,PRJEB48275,SAMEA10030203,R,R,,R,S,S,S,S,S
ERR7911447,PRJEB48275,SAMEA10030204,S,S,,,S,S,S,S,S
ERR7911448,PRJEB48275,SAMEA10030205,R,R,,S,S,S,S,S,S
ERR7911449,PRJEB48275,SAMEA10030206,R,R,,R,S,S,S,S,S
ERR7911450,PRJEB48275,SAMEA10030207,R,R,,R,S,S,S,S,S
ERR7911038,PRJEB48275,SAMEA10030208,R,R,,,S,S,R,S,S
ERR7911039,PRJEB48275,SAMEA10030209,R,R,,R,S,S,S,R,R
ERR7910929,PRJEB48275,SAMEA10030210,R,R,S,S,S,S,R,S,S
ERR7910932,PRJEB48275,SAMEA10030211,R,R,R,S,S,S,S,S,S
ERR7910933,PRJEB48275,SAMEA10030212,R,R,S,S,S,S,S,S,S
ERR7911040,PRJEB48275,SAMEA10030213,R,R,,R,S,S,S,S,S
ERR7910934,PRJEB48275,SAMEA10030214,R,R,S,S,S,S,R,S,S
ERR7911041,PRJEB48275,SAMEA10030215,R,R,,R,S,S,R,R,R
ERR7910935,PRJEB48275,SAMEA10030216,R,R,S,S,S,S,R,S,S
ERR7910936,PRJEB48275,SAMEA10030217,R,R,S,S,S,S,R,S,S
ERR7910937,PRJEB48275,SAMEA10030218,R,R,R,S,S,S,R,S,S
ERR7910938,PRJEB48275,SAMEA10030219,R,R,R,R,S,S,S,S,S
ERR7910939,PRJEB48275,SAMEA10030220,R,R,R,R,S,S,R,R,R
ERR7910940,PRJEB48275,SAMEA10030220,R,R,R,R,S,S,R,R,R
ERR7910941,PRJEB48275,SAMEA10030221,R,R,S,R,S,S,S,S,S
ERR7910942,PRJEB48275,SAMEA10030222,R,R,S,S,S,S,R,S,S
ERR7910943,PRJEB48275,SAMEA10030222,R,R,S,S,S,S,R,S,S
ERR7910944,PRJEB48275,SAMEA10030223,R,R,S,S,S,S,R,S,S
ERR7910945,PRJEB48275,SAMEA10030224,R,R,S,R,S,S,S,S,S
ERR7910946,PRJEB48275,SAMEA10030225,R,R,S,S,S,S,R,S,S
ERR7910947,PRJEB48275,SAMEA10030226,R,R,S,S,S,S,R,S,S
ERR7910948,PRJEB48275,SAMEA10030227,R,R,R,R,S,S,S,S,S
ERR7911042,PRJEB48275,SAMEA10030228,R,R,,R,S,S,S,S,S
ERR7911043,PRJEB48275,SAMEA10030229,R,R,,R,S,S,R,R,R
ERR7911044,PRJEB48275,SAMEA10030230,R,R,,R,S,S,S,S,S
ERR7911045,PRJEB48275,SAMEA10030231,R,R,,S,S,S,R,S,S
ERR7911046,PRJEB48275,SAMEA10030232,R,R,,R,S,S,R,S,S
ERR7911047,PRJEB48275,SAMEA10030233,R,R,,R,S,S,R,R,R
ERR7911048,PRJEB48275,SAMEA10030234,R,R,,S,S,S,R,S,S
ERR7911049,PRJEB48275,SAMEA10030235,R,R,,S,S,S,R,S,S
ERR7911050,PRJEB48275,SAMEA10030236,R,R,,S,S,S,R,R,R
ERR7911051,PRJEB48275,SAMEA10030237,R,R,,S,S,S,R,S,S
ERR7911052,PRJEB48275,SAMEA10030238,R,R,,,S,S,S,S,S
ERR7911053,PRJEB48275,SAMEA10030239,R,R,,R,S,S,R,R,R
ERR7911054,PRJEB48275,SAMEA10030240,R,R,,,S,S,S,S,S
ERR7911055,PRJEB48275,SAMEA10030241,R,R,,S,S,S,R,S,S
ERR7910894,PRJEB48275,SAMEA10030242,R,R,S,S,S,S,S,S,S
ERR7911056,PRJEB48275,SAMEA10030243,S,S,,S,S,S,S,S,S
ERR7911057,PRJEB48275,SAMEA10030244,R,R,,S,S,S,R,S,S
ERR7911058,PRJEB48275,SAMEA10030245,R,R,,S,S,S,R,R,R
ERR7911059,PRJEB48275,SAMEA10030246,R,R,,S,S,S,R,S,S
ERR7911060,PRJEB48275,SAMEA10030247,R,R,,R,S,S,R,S,S
ERR7911061,PRJEB48275,SAMEA10030248,R,R,,R,S,S,S,R,S
ERR7911062,PRJEB48275,SAMEA10030249,R,R,,S,S,S,R,S,S
ERR7911069,PRJEB48275,SAMEA10030250,R,R,,R,S,S,S,R,R
ERR7911063,PRJEB48275,SAMEA10030251,R,R,,S,S,S,R,S,S
ERR7911064,PRJEB48275,SAMEA10030252,R,R,,,S,S,S,S,S
ERR7910895,PRJEB48275,SAMEA10030253,R,R,R,S,S,S,R,S,S
ERR7911065,PRJEB48275,SAMEA10030254,R,S,,S,S,S,R,S,S
ERR7911066,PRJEB48275,SAMEA10030255,R,S,,S,S,S,S,S,S
ERR7911067,PRJEB48275,SAMEA10030256,R,R,,R,S,S,S,S,S
ERR7911068,PRJEB48275,SAMEA10030257,R,R,,S,S,S,R,S,S
ERR7910896,PRJEB48275,SAMEA10030258,R,R,R,R,S,S,R,S,S
ERR7910897,PRJEB48275,SAMEA10030259,R,R,S,S,S,S,S,S,S
ERR7910898,PRJEB48275,SAMEA10030260,R,R,S,S,S,S,R,S,S
ERR7910899,PRJEB48275,SAMEA10030261,R,R,S,S,S,S,R,S,S
ERR7910900,PRJEB48275,SAMEA10030262,R,R,S,S,S,S,S,S,S
ERR7910901,PRJEB48275,SAMEA10030263,R,R,S,S,S,S,R,S,S
ERR7910902,PRJEB48275,SAMEA10030264,R,R,S,S,S,S,R,S,S
ERR7910903,PRJEB48275,SAMEA10030265,R,R,R,R,R,R,R,S,S
ERR7910904,PRJEB48275,SAMEA10030266,R,R,R,R,S,S,S,S,S
ERR7910905,PRJEB48275,SAMEA10030267,R,R,R,R,S,S,S,S,S
ERR7910906,PRJEB48275,SAMEA10030268,R,R,R,R,S,S,S,S,S
ERR7910907,PRJEB48275,SAMEA10030269,R,R,R,R,S,S,R,S,S
ERR7910908,PRJEB48275,SAMEA10030270,R,R,R,S,S,S,R,S,S
ERR7910909,PRJEB48275,SAMEA10030271,R,R,R,S,S,S,R,S,S
ERR7910910,PRJEB48275,SAMEA10030272,R,R,S,S,S,S,S,R,R
ERR7910911,PRJEB48275,SAMEA10030273,R,R,R,R,S,S,S,S,S
ERR7910912,PRJEB48275,SAMEA10030274,R,R,R,S,S,S,S,S,S
ERR7910913,PRJEB48275,SAMEA10030275,R,R,S,R,S,S,S,S,S
ERR7910914,PRJEB48275,SAMEA10030276,R,R,S,S,S,S,R,S,S
ERR7910915,PRJEB48275,SAMEA10030277,R,R,S,S,S,S,R,S,S
ERR7910916,PRJEB48275,SAMEA10030278,R,R,S,S,S,S,R,S,S
ERR7910917,PRJEB48275,SAMEA10030279,R,R,R,R,S,S,R,S,S
ERR7910918,PRJEB48275,SAMEA10030280,R,R,R,S,S,S,R,S,S
ERR7910919,PRJEB48275,SAMEA10030281,R,R,R,R,S,S,S,S,S
ERR7910920,PRJEB48275,SAMEA10030282,R,R,R,S,S,S,S,S,S
ERR7910921,PRJEB48275,SAMEA10030283,R,R,R,R,S,S,R,S,S
ERR7910922,PRJEB48275,SAMEA10030284,R,R,R,R,R,R,R,S,S
ERR7910923,PRJEB48275,SAMEA10030285,R,R,S,S,S,S,R,S,S
ERR7910924,PRJEB48275,SAMEA10030286,R,R,R,R,S,S,R,S,S
ERR7911077,PRJEB48275,SAMEA10030287,R,R,R,R,S,S,S,S,S
ERR7910925,PRJEB48275,SAMEA10030288,R,R,R,R,S,S,S,S,S
ERR7910926,PRJEB48275,SAMEA10030289,R,R,S,R,S,S,R,S,S
ERR7910927,PRJEB48275,SAMEA10030290,R,R,S,S,S,S,R,S,S
ERR7910928,PRJEB48275,SAMEA10030291,R,R,R,S,R,R,R,S,S
ERR7910930,PRJEB48275,SAMEA10030292,R,R,,S,S,S,R,S,S
ERR7910931,PRJEB48275,SAMEA10030293,R,R,R,R,S,S,R,S,S
ERR7911078,PRJEB48275,SAMEA10030294,R,R,R,R,S,S,S,S,S
ERR7911079,PRJEB48275,SAMEA10030295,R,R,S,S,S,S,R,S,S
ERR7911080,PRJEB48275,SAMEA10030296,R,R,S,S,S,S,R,S,S
ERR7911081,PRJEB48275,SAMEA10030297,R,R,R,S,S,S,S,S,S
ERR7911082,PRJEB48275,SAMEA10030298,R,R,R,S,S,S,S,S,S
ERR7911083,PRJEB48275,SAMEA10030299,R,R,S,S,S,S,R,S,S
ERR7911016,PRJEB48275,SAMEA10030300,R,R,S,S,S,S,R,S,S
ERR7911017,PRJEB48275,SAMEA10030301,R,R,S,S,S,S,S,S,S
ERR7911018,PRJEB48275,SAMEA10030302,R,R,S,S,S,S,R,S,S
ERR7911019,PRJEB48275,SAMEA10030303,R,R,S,S,S,S,R,S,S
ERR7911020,PRJEB48275,SAMEA10030304,R,R,S,S,S,S,R,S,S
ERR7911084,PRJEB48275,SAMEA10030305,R,R,S,S,S,S,R,S,S
ERR7911085,PRJEB48275,SAMEA10030306,R,R,S,S,S,S,S,S,S
ERR7911021,PRJEB48275,SAMEA10030307,R,R,S,S,S,S,R,S,S
ERR7911022,PRJEB48275,SAMEA10030308,R,R,R,S,S,S,R,S,S
ERR7911023,PRJEB48275,SAMEA10030309,R,R,S,S,S,S,R,S,S
ERR7911024,PRJEB48275,SAMEA10030310,R,R,S,S,S,S,R,S,S
ERR7911086,PRJEB48275,SAMEA10030311,R,R,S,S,S,S,R,S,S
ERR7911087,PRJEB48275,SAMEA10030312,R,R,R,S,S,S,S,S,S
ERR7911025,PRJEB48275,SAMEA10030313,R,R,R,R,S,S,S,S,S
ERR7911026,PRJEB48275,SAMEA10030314,R,R,S,S,S,S,R,S,S
ERR7911027,PRJEB48275,SAMEA10030315,R,R,R,R,S,S,S,S,S
ERR7911029,PRJEB48275,SAMEA10030316,R,R,S,S,S,S,R,S,S
ERR7911028,PRJEB48275,SAMEA10030317,R,R,S,S,S,S,R,S,S
ERR7911088,PRJEB48275,SAMEA10030318,R,R,S,S,S,S,R,S,S
ERR7911030,PRJEB48275,SAMEA10030319,R,R,R,R,S,S,S,S,S
ERR7911089,PRJEB48275,SAMEA10030320,R,R,R,R,S,S,S,S,S
ERR7911031,PRJEB48275,SAMEA10030321,R,R,S,S,S,S,R,S,S
ERR7911032,PRJEB48275,SAMEA10030322,R,R,R,S,S,S,S,S,S
ERR7911090,PRJEB48275,SAMEA10030323,S,S,S,S,S,S,S,R,R
ERR7911091,PRJEB48275,SAMEA10030324,R,R,R,R,S,S,S,S,S
ERR7911033,PRJEB48275,SAMEA10030325,R,R,S,S,R,R,R,S,S
ERR7911034,PRJEB48275,SAMEA10030326,R,R,R,R,S,S,S,S,S
ERR7911092,PRJEB48275,SAMEA10030327,R,R,S,S,S,S,R,S,S
ERR7911035,PRJEB48275,SAMEA10030328,R,R,S,S,S,S,S,S,S
ERR7911093,PRJEB48275,SAMEA10030329,R,R,S,R,S,S,S,S,S
ERR7911036,PRJEB48275,SAMEA10030330,R,R,S,R,S,S,S,R,S
ERR7911037,PRJEB48275,SAMEA10030331,R,R,S,S,S,S,R,S,S
ERR7911094,PRJEB48275,SAMEA10030332,R,R,R,R,S,S,R,S,S
ERR7911095,PRJEB48275,SAMEA10030333,R,R,R,R,S,S,R,S,S
ERR7911096,PRJEB48275,SAMEA10030334,R,R,S,R,S,S,S,R,R
ERR7911097,PRJEB48275,SAMEA10030335,R,R,S,S,S,S,S,S,S
ERR7911218,PRJEB48275,SAMEA10030336,R,R,R,R,S,S,S,R,R
ERR7911098,PRJEB48275,SAMEA10030337,,,S,S,S,S,S,S,S
ERR7911219,PRJEB48275,SAMEA10030338,R,R,S,S,S,S,R,R,S
ERR7911220,PRJEB48275,SAMEA10030339,R,R,,R,S,S,S,S,S
ERR7911099,PRJEB48275,SAMEA10030340,R,R,R,S,S,S,R,S,S
ERR7911100,PRJEB48275,SAMEA10030341,R,R,R,S,S,S,R,S,S
ERR7911221,PRJEB48275,SAMEA10030342,R,R,R,S,S,S,S,S,S
ERR7911222,PRJEB48275,SAMEA10030343,R,R,R,R,S,S,R,S,S
ERR7911223,PRJEB48275,SAMEA10030344,R,R,S,S,S,S,R,S,S
ERR7911224,PRJEB48275,SAMEA10030345,S,R,S,S,S,S,S,S,S
ERR7911225,PRJEB48275,SAMEA10030346,R,R,S,S,S,S,R,S,S
ERR7912724,PRJEB48275,SAMEA10030347,R,R,S,S,S,S,R,S,S
ERR7912725,PRJEB48275,SAMEA10030347,R,R,S,S,S,S,R,S,S
ERR7911226,PRJEB48275,SAMEA10030348,R,R,R,R,S,S,R,R,S
ERR7911227,PRJEB48275,SAMEA10030349,R,R,R,S,S,S,R,S,S
ERR7911228,PRJEB48275,SAMEA10030350,R,R,R,R,S,S,R,S,S
ERR7911229,PRJEB48275,SAMEA10030351,R,S,S,S,S,S,R,S,S
ERR7911230,PRJEB48275,SAMEA10030352,R,R,S,S,S,S,R,S,S
ERR7911231,PRJEB48275,SAMEA10030353,R,R,S,S,S,S,R,S,S
ERR7911232,PRJEB48275,SAMEA10030354,R,R,R,S,S,S,R,S,S
ERR7911233,PRJEB48275,SAMEA10030355,R,R,S,S,S,S,S,S,S
ERR7911234,PRJEB48275,SAMEA10030356,R,R,S,S,S,S,R,S,S
ERR7911235,PRJEB48275,SAMEA10030357,R,R,R,R,S,S,R,S,S
ERR7911236,PRJEB48275,SAMEA10030358,R,R,R,S,S,S,R,S,S
ERR7911237,PRJEB48275,SAMEA10030359,R,R,S,S,S,S,R,S,S
ERR7911238,PRJEB48275,SAMEA10030360,R,R,S,S,S,S,R,S,S
ERR7911239,PRJEB48275,SAMEA10030361,R,R,R,S,S,S,R,S,S
ERR7911240,PRJEB48275,SAMEA10030362,R,R,S,S,S,S,R,S,S
ERR7911241,PRJEB48275,SAMEA10030363,R,S,S,S,S,S,S,S,S
ERR7911242,PRJEB48275,SAMEA10030364,R,R,S,S,S,S,S,S,S
ERR7911243,PRJEB48275,SAMEA10030365,R,R,S,S,S,S,R,S,S
ERR7911244,PRJEB48275,SAMEA10030366,R,R,R,R,S,S,R,S,S
ERR7911245,PRJEB48275,SAMEA10030367,R,R,S,R,S,S,R,S,S
ERR7911246,PRJEB48275,SAMEA10030368,R,R,R,R,R,R,R,S,S
ERR7911247,PRJEB48275,SAMEA10030369,R,R,S,S,S,S,R,S,S
ERR7911248,PRJEB48275,SAMEA10030370,R,R,R,S,R,S,R,S,S
ERR7911249,PRJEB48275,SAMEA10030371,R,R,R,S,S,S,R,S,S
ERR7911250,PRJEB48275,SAMEA10030372,R,R,R,S,S,S,R,S,S
ERR7911251,PRJEB48275,SAMEA10030373,R,R,S,S,S,S,S,S,S
ERR7910951,PRJEB48275,SAMEA10030374,R,R,,S,S,S,S,S,S
ERR7911252,PRJEB48275,SAMEA10030375,R,R,R,R,S,S,R,S,S
ERR7911253,PRJEB48275,SAMEA10030376,R,R,R,R,S,S,S,S,S
ERR7911254,PRJEB48275,SAMEA10030377,R,R,S,S,S,S,S,S,S
ERR7911255,PRJEB48275,SAMEA10030378,R,R,S,S,S,S,R,S,S
ERR7911256,PRJEB48275,SAMEA10030379,R,R,R,S,S,S,R,S,S
ERR7911257,PRJEB48275,SAMEA10030380,R,R,S,R,S,S,S,S,S
ERR7911258,PRJEB48275,SAMEA10030381,R,R,S,S,S,S,R,S,S
ERR7911259,PRJEB48275,SAMEA10030382,R,R,S,R,S,S,R,S,S
