run,bioproject,biosample,isoniazid,rifampicin,ethambutol,pyrazinamide,amikacin,capreomycin,kanamycin,moxifloxacin,levofloxacin
ERR7910892,PRJEB48275,SAMEA10029815,R,R,S,R,S,S,S,S,S
ERR7911006,PRJEB48275,SAMEA10029816,S,S,S,S,S,S,S,S,S
ERR7911007,PRJEB48275,SAMEA10029817,S,S,S,S,S,S,S,S,S
ERR7911008,PRJEB48275,SAMEA10029818,R,S,S,S,S,S,S,S,S
ERR7910893,PRJEB48275,SAMEA10029819,R,R,,S,S,S,S,S,S
ERR7911009,PRJEB48275,SAMEA10029820,R,R,S,,S,S,S,S,S
ERR7911010,PRJEB48275,SAMEA10029821,R,R,S,S,S,R,S,S,S
ERR7911340,PRJEB48275,SAMEA10029822,R,R,,R,S,S,S,R,R
ERR7911011,PRJEB48275,SAMEA10029823,R,R,R,S,S,S,S,S,S
ERR7911012,PRJEB48275,SAMEA10029824,R,R,S,S,S,S,S,S,S
ERR7911013,PRJEB48275,SAMEA10029825,S,R,S,S,S,S,S,S,S
ERR7911014,PRJEB48275,SAMEA10029826,R,R,S,R,S,S,S,S,S
ERR7911015,PRJEB48275,SAMEA10029827,R,R,R,R,S,S,R,S,S
ERR7911341,PRJEB48275,SAMEA10029828,R,R,,R,S,S,S,S,S
ERR7911342,PRJEB48275,SAMEA10029829,R,R,,R,S,S,S,S,S
ERR7911343,PRJEB48275,SAMEA10029830,R,R,,R,S,S,S,S,S
ERR7911344,PRJEB48275,SAMEA10029831,R,R,,S,S,S,S,S,S
ERR7911345,PRJEB48275,SAMEA10029832,R,R,,R,S,S,S,S,S
ERR7911346,PRJEB48275,SAMEA10029833,R,S,,S,S,S,S,S,S
ERR7911347,PRJEB48275,SAMEA10029834,R,R,,S,S,S,S,S,S
ERR7911348,PRJEB48275,SAMEA10029834,R,R,,S,S,S,S,S,S
ERR7911349,PRJEB48275,SAMEA10029835,R,R,,,S,R,S,R,R
ERR7911350,PRJEB48275,SAMEA10029835,R,R,,,S,R,S,R,R
ERR7911351,PRJEB48275,SAMEA10029836,R,R,,R,R,R,R,S,S
ERR7911352,PRJEB48275,SAMEA10029836,R,R,,R,R,R,R,S,S
ERR7911353,PRJEB48275,SAMEA10029836,R,R,,R,R,R,R,S,S
ERR7911354,PRJEB48275,SAMEA10029837,R,R,,R,S,S,S,S,S
ERR7911355,PRJEB48275,SAMEA10029837,R,R,,R,S,S,S,S,S
ERR7911356,PRJEB48275,SAMEA10029838,R,R,,R,S,S,S,S,S
ERR7911357,PRJEB48275,SAMEA10029838,R,R,,R,S,S,S,S,S
ERR7911358,PRJEB48275,SAMEA10029839,R,S,,,S,S,S,S,S
ERR7911359,PRJEB48275,SAMEA10029839,R,S,,,S,S,S,S,S
ERR7911360,PRJEB48275,SAMEA10029839,R,S,,,S,S,S,S,S
ERR7911361,PRJEB48275,SAMEA10029840,R,R,,R,S,S,S,S,S
ERR7911362,PRJEB48275,SAMEA10029840,R,R,,R,S,S,S,S,S
ERR7911363,PRJEB48275,SAMEA10029841,R,S,,R,R,R,R,S,S
ERR7911364,PRJEB48275,SAMEA10029841,R,S,,R,R,R,R,S,S
ERR7911365,PRJEB48275,SAMEA10029841,R,S,,R,R,R,R,S,S
ERR7911366,PRJEB48275,SAMEA10029842,R,R,,S,R,R,R,S,S
ERR7911367,PRJEB48275,SAMEA10029843,R,R,,S,S,S,S,S,S
ERR7911368,PRJEB48275,SAMEA10029844,R,R,,R,S,S,S,R,R
ERR7911369,PRJEB48275,SAMEA10029845,R,R,,R,S,S,S,S,S
