run,isoniazid,pyrazinamide,ethambutol,ethionamide,kanamycin,bioproject,biosample
ERR4553779,,R,R,R,S,PRJEB39569,SAMEA7280521
ERR4553780,,S,S,R,S,PRJEB39569,SAMEA7280522
ERR4553781,,R,R,S,S,PRJEB39569,SAMEA7280523
ERR4553782,,R,R,R,S,PRJEB39569,SAMEA7280524
ERR4553792,,R,R,R,S,PRJEB39569,SAMEA7280534
ERR4553794,,S,R,S,S,PRJEB39569,SAMEA7280536
ERR4553796,,S,R,S,S,PRJEB39569,SAMEA7280538
ERR4553797,,S,R,S,S,PRJEB39569,SAMEA7280539
ERR4553798,,R,S,S,S,PRJEB39569,SAMEA7280540
ERR4553799,,R,S,S,S,PRJEB39569,SAMEA7280541
ERR4553800,,S,R,S,S,PRJEB39569,SAMEA7280542
ERR4553808,,S,S,S,S,PRJEB39569,SAMEA7280550
ERR4553810,,R,R,S,S,PRJEB39569,SAMEA7280552
ERR4553811,,S,R,S,S,PRJEB39569,SAMEA7280553
ERR4553812,,R,S,S,S,PRJEB39569,SAMEA7280554
ERR4553813,R,R,R,R,S,PRJEB39569,SAMEA7280555
ERR4553814,,R,R,S,S,PRJEB39569,SAMEA7280556
ERR4553824,,S,R,S,S,PRJEB39569,SAMEA7280566
ERR4553825,,R,R,R,S,PRJEB39569,SAMEA7280567
ERR4553826,,S,R,R,S,PRJEB39569,SAMEA7280568
ERR4553828,,S,S,S,S,PRJEB39569,SAMEA7280570
ERR4553793,,S,R,S,S,PRJEB39569,SAMEA7280535
ERR4553829,,R,R,R,S,PRJEB39569,SAMEA7280571
ERR4553838,,S,S,R,S,PRJEB39569,SAMEA7280580
ERR4553839,,S,S,S,S,PRJEB39569,SAMEA7280581
ERR4553840,,R,S,R,R,PRJEB39569,SAMEA7280582
ERR4553843,,S,S,S,S,PRJEB39569,SAMEA7280585
ERR4553844,,R,S,S,S,PRJEB39569,SAMEA7280586
ERR4553845,S,S,S,S,S,PRJEB39569,SAMEA7280587
ERR4553853,,S,R,R,S,PRJEB39569,SAMEA7280595
ERR4553854,,S,S,S,S,PRJEB39569,SAMEA7280596
ERR4553855,,R,S,S,S,PRJEB39569,SAMEA7280597
ERR4553856,,R,R,S,S,PRJEB39569,SAMEA7280598
ERR4553857,,S,R,S,S,PRJEB39569,SAMEA7280599
ERR4553858,R,S,R,R,S,PRJEB39569,SAMEA7280600
ERR4553859,,S,S,S,S,PRJEB39569,SAMEA7280601
ERR4553867,,S,S,S,S,PRJEB39569,SAMEA7280609
ERR4553869,,R,R,R,S,PRJEB39569,SAMEA7280611
ERR4553871,,R,R,R,S,PRJEB39569,SAMEA7280613
ERR4553873,,S,S,S,S,PRJEB39569,SAMEA7280615
ERR4553875,,S,S,R,S,PRJEB39569,SAMEA7280617
ERR4553876,,S,S,S,S,PRJEB39569,SAMEA7280618
ERR4553905,,S,S,S,R,PRJEB39569,SAMEA7280647
ERR4553907,,R,R,S,S,PRJEB39569,SAMEA7280649
ERR4553913,R,R,R,S,S,PRJEB39569,SAMEA7280655
ERR4553914,R,S,S,S,S,PRJEB39569,SAMEA7280656
ERR4553923,R,S,S,S,S,PRJEB39569,SAMEA7280665
ERR4553925,R,R,R,S,S,PRJEB39569,SAMEA7280667
ERR4553927,R,S,R,S,S,PRJEB39569,SAMEA7280670
ERR4553928,R,S,S,S,R,PRJEB39569,SAMEA7280671
