run,streptomycin,isoniazid,rifampicin,ethambutol,para-aminosalicylic_acid,thioacetazone,moxifloxacin,ofloxacin,amikacin,kanamycin,capreomycin,pyrazinamide,ethionamide,biosample,bioproject
ERR9030418,S,R,R,S,S,R,,S,S,S,S,,,SAMEA13188721,PRJEB49093
ERR9030355,S,R,R,S,S,R,,S,S,S,S,,,SAMEA13188671,PRJEB49093
ERR9030511,S,R,R,S,S,R,,S,S,S,S,,,SAMEA13188673,PRJEB49093
ERR9030367,S,R,R,S,S,R,,S,S,S,S,,,SAMEA13188744,PRJEB49093
ERR9030310,S,R,R,S,,,,S,S,S,S,,,SAMEA13188672,PRJEB49093
ERR9030361,S,R,R,R,R,R,,S,S,S,S,,,SAMEA13188658,PRJEB49093
ERR9030432,S,R,R,S,S,R,,S,S,S,S,,,SAMEA13188728,PRJEB49093
ERR9030515,S,S,S,S,S,R,,S,S,S,S,,,SAMEA13188682,PRJEB49093
ERR9030477,S,S,S,S,S,R,,,,,,,,SAMEA13188736,PRJEB49093
ERR9030398,S,R,S,S,S,R,,S,S,S,S,,,SAMEA13188715,PRJEB49093
ERR9030345,S,R,S,S,S,R,,S,S,S,S,,,SAMEA13188730,PRJEB49093
ERR9030311,S,S,S,S,S,R,,,,,,,,SAMEA13188745,PRJEB49093
ERR9030255,S,S,S,S,S,R,,,,,,,,SAMEA13188670,PRJEB49093
ERR9030369,S,S,S,S,S,R,,,,,,,,SAMEA13188659,PRJEB49093
ERR9030286,S,S,S,S,S,R,,,,,,,,SAMEA13188665,PRJEB49093
ERR9030422,S,S,S,S,S,R,,,,,,,,SAMEA13188681,PRJEB49093
ERR9030382,S,S,S,S,S,R,,,,,,,,SAMEA13188692,PRJEB49093
ERR9030501,S,S,S,S,S,R,,,,,,,,SAMEA13188711,PRJEB49093
ERR9030452,S,S,S,S,S,R,,,,,,,,SAMEA13188737,PRJEB49093
ERR9030340,S,S,S,S,S,R,,,,,,,,SAMEA13188685,PRJEB49093
ERR9030420,S,S,S,S,S,R,,S,S,S,S,,,SAMEA13188705,PRJEB49093
ERR9030254,S,S,S,S,S,R,,S,S,S,S,,,SAMEA13188719,PRJEB49093
ERR9030527,S,S,S,S,,,,,,,,,,SAMEA13188669,PRJEB49093
ERR9030433,S,R,S,S,S,R,,,,,,,,SAMEA13188710,PRJEB49093
ERR9030449,S,S,S,S,R,R,,S,S,S,S,,,SAMEA13188697,PRJEB49093
ERR9030249,S,S,S,S,S,R,,,,,,,,SAMEA13188702,PRJEB49093
ERR9030540,S,S,S,S,S,R,,,,,,,,SAMEA13188707,PRJEB49093
ERR9030332,S,S,S,S,,,,,,,,,,SAMEA13188731,PRJEB49093
