PRJNA353873,SAMN06221498,SRR5181846
PRJNA353873,SAMN06221280,SRR5181986
PRJNA717333,SAMN18498627,SRR14088385
PRJNA353873,SAMN06221375,SRR5181939
PRJNA353873,SAMN06221065,SRR5182135
PRJNA663350,SAMN16130550,SRR12708374
PRJNA650381,SAMN15703116,SRR12395458
PRJNA413593,SAMN07765997,SRR6153036
PRJNA353873,SAMN06221117,SRR5182102
PRJNA888434,SAMN31217771,SRR21853794
PRJNA353873,SAMN06221444,SRR5181899
PRJNA717333,SAMN18498638,SRR14088373
PRJNA353873,SAMN06221062,SRR5182137
PRJNA650381,SAMN15703124,SRR12395449
PRJNA557083,SAMN12389162,SRR9851505
PRJNA557083,SAMN12389162,SRR9853160
PRJNA353873,SAMN06221209,SRR5182041
PRJNA557083,SAMN12389216,SRR9851438
PRJNA557083,SAMN12389216,SRR9853175
PRJNA650381,SAMN15703113,SRR12395090
PRJNA353873,SAMN06221256,SRR5182001
PRJNA663350,SAMN16130574,SRR12708398
PRJNA717333,SAMN18498634,SRR14088377
PRJNA663350,SAMN16130544,SRR12708382
PRJNA650381,SAMN15703329,SRR12395163
PRJNA824124,SAMN27391432,SRR18665484
PRJNA557083,SAMN12389265,SRR9851490
PRJNA557083,SAMN12389265,SRR9853257
PRJNA353873,SAMN06221008,SRR5182172
PRJNA650381,SAMN15703335,SRR12395156
PRJNA650381,SAMN15703166,SRR12395406
PRJNA557083,SAMN12389249,SRR9851448
PRJNA557083,SAMN12389249,SRR9853186
PRJNA650381,SAMN15703245,SRR12395296
PRJNA650381,SAMN15703296,SRR12395200
PRJNA353873,SAMN06221423,SRR5181918
PRJNA650381,SAMN15703339,SRR12395152
PRJNA557083,SAMN12389197,SRR9851533
PRJNA557083,SAMN12389197,SRR9853301
PRJNA557083,SAMN12389268,SRR9851519
PRJNA557083,SAMN12389268,SRR9853262
PRJNA557083,SAMN12389161,SRR9851562
PRJNA557083,SAMN12389161,SRR9853214
PRJNA413593,SAMN08215049,SRR6397771
PRJNA717333,SAMN18498617,SRR14088349
PRJNA650381,SAMN15703117,SRR12395456
PRJNA353873,SAMN06221512,SRR5181833
PRJNA650381,SAMN15703302,SRR12395193
PRJNA650381,SAMN15703346,SRR12395144
PRJNA650381,SAMN15703086,SRR12395054
PRJNA353873,SAMN06221208,SRR5182042
PRJNA353873,SAMN06221111,SRR5182108
PRJNA650381,SAMN15703016,SRR12395238
PRJNA353873,SAMN06221205,SRR5182045
PRJNA824124,SAMN27391463,SRR18665459
PRJNA650381,SAMN15702999,SRR12395252
PRJNA353873,SAMN06221462,SRR5181881
PRJNA650381,SAMN15703157,SRR12395416
PRJNA557083,SAMN12389187,SRR9851572
PRJNA557083,SAMN12389187,SRR9853281
PRJNA650381,SAMN15702938,SRR12395332
PRJNA438921,SAMN09090584,SRR7131135
PRJNA663350,SAMN16130583,SRR12708388
PRJNA663350,SAMN16130581,SRR12708390
PRJNA717333,SAMN18498618,SRR14088348
PRJNA663350,SAMN16130543,SRR12708383
PRJNA557083,SAMN12389171,SRR9851510
PRJNA557083,SAMN12389171,SRR9853157
PRJNA353873,SAMN06221100,SRR5182114
PRJNA557083,SAMN12389279,SRR9851584
PRJNA557083,SAMN12389279,SRR9853240
PRJNA650381,SAMN15703028,SRR12395227
PRJNA663350,SAMN16130545,SRR12708381
PRJNA353873,SAMN06221202,SRR5182048
PRJNA353873,SAMN06221118,SRR5182101
PRJNA824124,SAMN31672560,SRR22248492
PRJNA824124,SAMN27391465,SRR18665457
PRJNA557083,SAMN12389166,SRR9851509
PRJNA557083,SAMN12389166,SRR9853188
PRJNA353873,SAMN06221520,SRR5181825
PRJNA557083,SAMN12389173,SRR9851578
PRJNA557083,SAMN12389173,SRR9853208
PRJNA353873,SAMN06221130,SRR5182096
PRJNA353873,SAMN06221038,SRR5182151
PRJNA353873,SAMN06221419,SRR5181922
PRJNA557083,SAMN12389222,SRR9851500
PRJNA557083,SAMN12389222,SRR9853154
PRJNA824124,SAMN27391439,SRR18665434
PRJNA353873,SAMN06221426,SRR5181915
PRJNA438921,SAMN09090399,SRR7131051
PRJNA353873,SAMN06221297,SRR5181973
PRJNA557083,SAMN12389258,SRR9851431
PRJNA557083,SAMN12389258,SRR9853167
PRJNA438921,SAMN09090495,SRR7131065
PRJNA353873,SAMN06221027,SRR5182160
PRJNA353873,SAMN06221173,SRR5182071
PRJNA650381,SAMN15703076,SRR12395103
PRJNA353873,SAMN06221258,SRR5182000
PRJNA824124,SAMN31672575,SRR22248476
PRJNA824124,SAMN27391473,SRR18665448
PRJNA353873,SAMN06221198,SRR5182052
PRJNA824124,SAMN31672550,SRR22248494
PRJNA353873,SAMN06221501,SRR5181843
PRJNA557083,SAMN12389213,SRR9851501
PRJNA557083,SAMN12389213,SRR9853180
PRJNA663350,SAMN16130559,SRR12708414
PRJNA650381,SAMN15703229,SRR12395359
PRJNA650381,SAMN15703190,SRR12395110
PRJNA557083,SAMN12389190,SRR9851487
PRJNA557083,SAMN12389190,SRR9853164
PRJNA353873,SAMN06221491,SRR5181852
PRJNA353873,SAMN06221104,SRR5182113
PRJNA353873,SAMN06221475,SRR5181868
PRJNA438921,SAMN09090474,SRR7131127
PRJNA353873,SAMN06221172,SRR5182073
PRJNA353873,SAMN06221481,SRR5181862
PRJNA650381,SAMN15703079,SRR12395061
PRJNA353873,SAMN06221472,SRR5181871
PRJNA824124,SAMN31672565,SRR22248487
PRJNA650381,SAMN15703043,SRR12395077
PRJNA650381,SAMN15703253,SRR12395287
PRJNA353873,SAMN06221253,SRR5182004
PRJNA663350,SAMN16130577,SRR12708394
PRJNA353873,SAMN06221301,SRR5181971
PRJNA353873,SAMN06221288,SRR5181977
PRJNA353873,SAMN06221275,SRR5181989
PRJNA353873,SAMN06221151,SRR5182086
PRJNA353873,SAMN06221168,SRR5182076
PRJNA824124,SAMN27391444,SRR18665480
PRJNA650381,SAMN15703300,SRR12395196
PRJNA824124,SAMN27391477,SRR18665444
PRJNA557083,SAMN12389270,SRR9851489
PRJNA557083,SAMN12389270,SRR9853264
PRJNA557083,SAMN12389255,SRR9851428
PRJNA557083,SAMN12389255,SRR9853172
PRJNA650381,SAMN15702964,SRR12395304
PRJNA353873,SAMN06221290,SRR5181976
PRJNA353873,SAMN06221059,SRR5182139
PRJNA438921,SAMN09090594,SRR7131110
PRJNA650381,SAMN15703311,SRR12395183
PRJNA650381,SAMN15702985,SRR12395312
PRJNA650381,SAMN15703254,SRR12395286
PRJNA353873,SAMN06221005,SRR5182174
PRJNA557083,SAMN12389276,SRR9851581
PRJNA557083,SAMN12389276,SRR9853241
PRJNA650381,SAMN15703046,SRR12395073
PRJNA824124,SAMN31672576,SRR22248475
PRJNA557083,SAMN12389262,SRR9851517
PRJNA557083,SAMN12389262,SRR9853256
PRJNA824124,SAMN27391433,SRR18665483
PRJNA557083,SAMN12389157,SRR9851556
PRJNA557083,SAMN12389157,SRR9853220
PRJNA824124,SAMN27391438,SRR18665435
PRJNA834625,SAMN28053287,SRR19050359
PRJNA353873,SAMN06221308,SRR5181969
PRJNA663350,SAMN16130579,SRR12708392
PRJNA557083,SAMN12389125,SRR9851484
PRJNA557083,SAMN12389125,SRR9853232
PRJNA650381,SAMN15703002,SRR12395424
PRJNA353873,SAMN06221480,SRR5181863
PRJNA353873,SAMN06221478,SRR5181865
PRJNA353873,SAMN06221207,SRR5182043
PRJNA353873,SAMN06221224,SRR5182027
PRJNA353873,SAMN06221110,SRR5182109
PRJNA353873,SAMN06221204,SRR5182046
PRJNA663350,SAMN16130565,SRR12708408
PRJNA353873,SAMN06221428,SRR5181913
PRJNA557083,SAMN12389219,SRR9851571
PRJNA557083,SAMN12389219,SRR9853174
PRJNA438921,SAMN09090534,SRR7131141
PRJNA557083,SAMN12389248,SRR9851449
PRJNA557083,SAMN12389248,SRR9853187
PRJNA824124,SAMN31672553,SRR22248471
PRJNA557083,SAMN12389147,SRR9851465
PRJNA557083,SAMN12389147,SRR9853195
PRJNA557083,SAMN12389240,SRR9851551
PRJNA557083,SAMN12389240,SRR9853288
PRJNA557083,SAMN12389217,SRR9851566
PRJNA557083,SAMN12389217,SRR9853176
PRJNA557083,SAMN12389283,SRR9851459
PRJNA557083,SAMN12389283,SRR9853226
PRJNA824124,SAMN27391452,SRR18665471
PRJNA650381,SAMN15702948,SRR12395321
PRJNA557083,SAMN12389225,SRR9851497
PRJNA557083,SAMN12389225,SRR9853155
PRJNA353873,SAMN06221084,SRR5182124
PRJNA650381,SAMN15703017,SRR12395237
PRJNA824124,SAMN31672564,SRR22248488
PRJNA824124,SAMN27391474,SRR18665447
PRJNA650381,SAMN15703185,SRR12395400
PRJNA824124,SAMN27391472,SRR18665449
PRJNA650381,SAMN15703100,SRR12395464
PRJNA557083,SAMN12389246,SRR9851447
PRJNA557083,SAMN12389246,SRR9853285
PRJNA353873,SAMN06221436,SRR5181906
PRJNA650381,SAMN15702994,SRR12395064
PRJNA353873,SAMN06221441,SRR5181902
PRJNA557083,SAMN12389218,SRR9851570
PRJNA557083,SAMN12389218,SRR9853173
PRJNA353873,SAMN06221211,SRR5182039
PRJNA824124,SAMN27391464,SRR18665458
PRJNA717333,SAMN18498639,SRR14088371
PRJNA557083,SAMN12389242,SRR9851443
PRJNA557083,SAMN12389242,SRR9853185
PRJNA353873,SAMN06221113,SRR5182106
PRJNA353873,SAMN06221463,SRR5181880
PRJNA824124,SAMN31672569,SRR22248483
PRJNA824124,SAMN31672567,SRR22248485
PRJNA824124,SAMN27391451,SRR18665473
PRJNA650381,SAMN15703131,SRR12395441
PRJNA650381,SAMN15703248,SRR12395293
PRJNA650381,SAMN15703320,SRR12395174
