accession,S,H,R,E,Z,Am,Km,Cm,Cs,Cfx,Ofx,PAS,Rbt,Mfx,Line,Eto
ERS2211634,r,r,r,r,nd,nd,nd,r,r,nd,r,nd,nd,nd,nd,nd
ERS2211635,r,r,r,r,r,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211636,r,r,r,r,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS456797,r,r,r,r,r,s,nd,s,s,nd,s,r,nd,nd,nd,s
ERS457333,r,r,r,r,s,nd,nd,s,s,nd,s,nd,nd,nd,nd,s
ERS2211637,r,r,r,r,s,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211424,r,r,r,r,s,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS457596,r,r,r,s,r,s,nd,s,s,nd,s,s,nd,nd,s,r
ERS2211638,r,r,nd,r,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS458634,r,r,r,r,r,s,nd,s,s,nd,s,s,nd,nd,s,s
ERS457193,r,r,r,r,s,s,nd,s,s,nd,s,s,nd,nd,s,s
ERS2211639,r,r,r,r,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211640,r,r,r,r,r,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS458028,r,r,r,r,s,nd,nd,s,s,nd,s,r,nd,nd,s,s
ERS2211641,r,r,r,r,s,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS458279,r,r,r,s,s,nd,nd,s,s,nd,s,nd,nd,nd,nd,r
ERS2211642,r,r,r,s,s,s,nd,s,s,nd,s,nd,nd,s,nd,s
ERS2211643,r,r,r,r,r,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211644,r,r,r,s,r,nd,nd,s,s,nd,s,nd,nd,nd,nd,s
ERS458003,r,r,r,s,s,r,nd,r,s,nd,s,s,nd,nd,s,r
ERS2211645,r,r,r,r,s,s,nd,s,s,nd,s,s,nd,nd,s,nd
ERS2211646,r,r,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS456960,r,r,r,r,s,s,nd,s,s,nd,s,nd,nd,nd,s,s
ERS457429,r,r,r,s,s,s,nd,s,s,s,s,nd,nd,nd,nd,r
ERS2211647,r,r,r,r,r,nd,nd,s,s,nd,s,nd,nd,nd,s,r
ERS2211648,r,r,r,s,s,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS458648,r,r,r,r,r,nd,nd,s,s,nd,s,nd,nd,nd,s,s
ERS2211649,r,r,r,r,r,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211650,r,r,s,s,s,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211651,r,r,r,r,r,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS457212,r,r,r,r,s,nd,nd,s,s,nd,s,nd,nd,nd,s,s
ERS457481,r,r,r,r,s,r,nd,r,s,nd,s,r,nd,nd,nd,r
ERS2211652,r,r,r,r,s,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS458543,r,r,r,s,s,s,nd,s,s,nd,s,nd,nd,nd,s,s
ERS458515,r,r,r,r,r,s,nd,s,s,nd,s,F,nd,nd,nd,s
ERS2211653,r,r,nd,r,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS457215,r,r,r,s,s,s,nd,s,s,nd,s,nd,nd,nd,s,s
ERS457688,r,r,r,s,s,nd,nd,nd,s,nd,s,nd,nd,nd,nd,s
ERS457711,r,r,r,r,s,s,nd,s,s,nd,s,s,nd,nd,nd,s
ERS457671,r,r,r,r,s,s,nd,s,s,nd,s,s,nd,nd,s,r
ERS2211654,r,r,r,r,s,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211655,r,r,r,r,s,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,s
ERS2211656,r,r,r,r,r,nd,nd,s,s,nd,s,nd,nd,nd,s,r
ERS458686,r,r,r,r,s,nd,nd,s,s,nd,s,nd,nd,nd,nd,s
ERS456954,r,r,r,s,s,nd,nd,s,s,nd,s,nd,nd,nd,nd,s
ERS2211657,r,r,nd,nd,nd,nd,nd,nd,r,nd,nd,nd,nd,nd,nd,nd
ERS2211658,s,r,s,s,s,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211659,r,r,r,r,s,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211660,r,r,r,s,s,nd,nd,nd,s,nd,s,nd,nd,nd,s,s
ERS458438,r,r,r,r,s,nd,nd,s,s,nd,s,nd,nd,nd,s,s
ERS2211661,r,r,r,r,r,s,nd,s,s,nd,s,nd,nd,nd,s,r
ERS2211662,r,r,r,r,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211663,r,r,r,r,s,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS457591,r,r,r,r,r,s,nd,s,s,nd,s,s,r,s,s,s
ERS2211664,r,r,r,r,r,s,nd,s,s,nd,s,s,nd,s,s,s
ERS457421,r,r,r,s,s,nd,nd,s,s,nd,s,nd,nd,nd,s,s
ERS2211665,r,r,r,s,s,nd,nd,s,s,nd,s,nd,nd,nd,nd,s
ERS458319,r,r,r,s,r,s,nd,s,s,nd,s,nd,nd,nd,s,s
ERS2211666,r,r,r,r,r,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211667,r,r,r,s,s,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS458762,r,r,r,r,s,s,nd,s,s,nd,s,s,nd,s,s,r
ERS458492,r,r,r,r,s,s,nd,s,s,nd,s,nd,nd,nd,nd,r
ERS2211668,r,r,r,r,s,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS458683,r,r,r,r,s,nd,nd,s,s,nd,s,nd,nd,nd,s,r
ERS2211669,r,r,r,s,s,s,nd,s,s,nd,s,s,nd,s,s,b
ERS2211670,r,r,r,r,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211671,r,r,s,s,s,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211672,r,r,r,s,s,nd,nd,s,s,nd,s,nd,nd,nd,s,s
ERS2211673,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211674,r,r,r,r,s,nd,nd,s,s,nd,s,nd,nd,nd,s,r
ERS457983,r,r,r,r,r,r,nd,r,s,nd,s,nd,nd,nd,s,r
ERS2211675,r,r,r,r,s,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS457720,r,r,s,s,s,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211676,r,r,r,r,s,nd,nd,s,nd,nd,s,nd,nd,nd,nd,nd
ERS2211677,r,r,r,r,r,nd,nd,s,s,nd,s,nd,nd,nd,s,r
ERS2211678,r,r,r,r,r,s,nd,s,s,nd,s,b,r,s,s,r
ERS457626,r,r,r,r,r,s,nd,s,s,nd,s,s,r,nd,s,r
ERS2211679,r,r,nd,nd,nd,nd,nd,nd,r,nd,nd,nd,nd,nd,nd,nd
ERS458047,r,r,r,r,s,s,nd,s,s,nd,s,s,r,nd,s,s
ERS457157,r,r,r,s,s,nd,nd,r,s,nd,s,nd,nd,nd,s,s
ERS2211680,r,r,r,r,r,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211681,r,r,r,r,s,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211682,r,r,r,r,s,nd,nd,s,s,nd,s,nd,nd,nd,s,s
ERS458561,r,r,r,r,r,r,nd,r,s,nd,s,s,r,nd,s,s
ERS456881,r,r,r,r,r,s,nd,s,nd,nd,s,nd,nd,nd,nd,nd
ERS2211683,r,r,r,s,s,nd,nd,s,nd,nd,s,nd,nd,nd,nd,s
ERS2211684,r,r,r,r,s,s,nd,s,s,nd,s,s,r,nd,s,s
ERS2211685,r,r,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211686,r,r,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS457565,r,r,r,r,r,r,nd,r,s,nd,s,s,r,nd,s,r
ERS2211687,r,r,r,r,s,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211688,r,r,nd,nd,nd,nd,nd,nd,b,nd,nd,nd,nd,nd,nd,nd
ERS2211689,r,r,r,r,r,r,nd,r,s,nd,s,r,nd,b,s,b
ERS458496,r,r,r,r,s,nd,nd,s,r,nd,s,r,nd,nd,nd,s
ERS2211690,r,r,nd,b,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211691,r,r,r,r,s,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS456902,r,r,r,r,s,s,nd,s,s,nd,s,s,nd,nd,s,r
ERS2211692,r,r,r,r,r,nd,nd,r,s,nd,r,nd,nd,r,s,r
ERS458122,r,r,r,s,r,s,nd,s,s,nd,s,s,r,nd,s,s
ERS456855,r,r,r,r,s,nd,nd,s,nd,nd,s,nd,nd,nd,nd,nd
ERS2211693,r,r,r,r,r,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211694,r,r,r,r,s,s,nd,r,s,nd,r,r,nd,nd,nd,r
ERS456966,r,r,r,s,s,nd,nd,s,nd,nd,s,nd,nd,nd,nd,s
ERS457981,r,r,r,s,s,s,nd,s,s,nd,s,s,r,nd,s,s
ERS2211695,r,r,r,r,s,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211696,nd,r,nd,nd,nd,nd,nd,nd,nd,nd,s,nd,nd,nd,nd,s
ERS2211697,r,r,r,r,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211698,r,r,r,r,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211699,r,r,r,r,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211700,r,r,r,r,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211701,r,r,r,r,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211702,r,r,r,r,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211703,r,r,r,r,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211704,r,r,r,r,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211705,r,r,s,r,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211706,r,r,s,s,s,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211707,r,r,r,s,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS1110442,r,r,r,r,s,nd,nd,s,s,nd,r,r,nd,nd,s,s
ERS2211708,nd,r,r,s,s,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,s
ERS458430,r,r,r,r,r,nd,nd,s,nd,nd,r,nd,nd,nd,nd,nd
ERS458415,r,r,r,r,s,s,nd,s,s,nd,s,s,r,nd,s,r
ERS2211709,r,r,r,r,r,nd,nd,s,s,nd,s,nd,nd,nd,s,r
ERS457843,nd,r,r,r,r,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,s
ERS458146,r,r,r,s,s,s,nd,s,s,nd,s,s,nd,nd,nd,s
ERS457148,r,r,r,r,r,r,nd,r,s,nd,s,nd,nd,nd,s,r
ERS457130,r,r,r,r,r,s,nd,s,s,nd,s,s,r,s,s,s
ERS2211710,r,r,r,s,s,s,nd,nd,nd,nd,s,nd,nd,nd,nd,s
ERS457463,r,r,r,r,r,nd,nd,s,nd,nd,s,nd,nd,nd,nd,nd
ERS458395,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS457179,r,r,r,r,r,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,r
ERS2211711,r,r,nd,b,r,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211712,r,r,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211713,r,r,r,r,r,nd,nd,nd,nd,nd,r,nd,nd,nd,nd,nd
ERS2211714,r,r,r,r,s,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211715,r,r,r,r,r,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211425,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211716,r,r,r,r,s,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211717,r,s,r,r,r,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211718,r,r,r,r,r,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211719,r,r,r,s,r,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211720,r,r,r,s,s,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211426,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211721,r,r,r,s,s,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211722,r,r,r,r,r,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211723,r,r,r,r,r,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211724,r,r,r,s,r,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211725,r,r,r,r,r,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211726,r,r,r,r,r,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211727,r,r,s,s,s,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211728,r,r,r,r,r,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211729,r,r,r,s,s,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211730,r,r,r,r,s,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211731,r,r,r,r,s,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211732,r,r,r,r,s,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211733,r,r,r,r,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211734,r,r,r,r,s,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211735,r,r,r,r,s,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211736,r,r,r,r,r,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
SRR1162695,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
SRR1144755,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
SRR1144775,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
SRR1144743,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
SRR1144778,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
SRR1162700,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
SRR1162778,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211737,r,r,r,r,r,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211738,r,r,r,r,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211739,r,r,r,r,s,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211740,r,r,r,r,r,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211741,r,r,r,r,r,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211742,s,s,s,s,s,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211743,r,r,r,r,r,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211744,r,r,r,r,r,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211745,r,r,r,r,s,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211746,r,r,r,r,s,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211747,r,r,r,r,s,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211748,r,r,r,r,s,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211749,r,r,r,r,s,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211750,r,r,r,r,r,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211751,r,r,r,r,r,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211752,r,r,r,s,r,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211753,r,r,r,r,s,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211754,r,r,r,r,s,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211755,r,r,r,r,r,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211756,r,r,r,r,r,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211757,r,r,r,r,r,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211758,r,r,r,r,r,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211759,r,r,r,r,s,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211760,r,r,r,r,r,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211761,r,r,r,r,r,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211427,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211428,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211429,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211762,r,r,r,r,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211763,r,r,r,r,s,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211764,r,r,r,r,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211765,r,r,r,r,r,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211766,r,r,r,r,r,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211767,r,r,r,r,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211768,r,r,r,r,r,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211769,r,r,r,r,r,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211770,r,r,r,r,r,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211771,r,r,r,r,r,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211772,r,r,r,r,s,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211773,r,r,r,r,r,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211774,r,r,r,r,r,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211775,r,r,r,r,s,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211776,r,r,r,r,r,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211430,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211431,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211777,r,r,r,r,r,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211778,r,r,r,r,r,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211779,r,r,r,r,s,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
SRR1577830,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
SRR1166179,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
SRR1166118,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
SRR1166267,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
SRR1166120,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
SRR1166187,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211780,r,r,r,r,r,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211781,r,r,r,r,r,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211782,r,r,r,r,s,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211783,r,r,r,r,s,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211784,r,r,r,r,s,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211785,r,r,r,r,r,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211786,r,r,r,r,s,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211787,r,r,r,r,r,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211788,r,r,r,s,r,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211789,r,r,r,r,r,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211790,r,r,r,r,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211791,r,r,r,r,r,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
SRR1173393,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
SRR1172711,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
SRR1173675,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
SRR1173446,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
SRR1173628,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
SRR1173192,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
SRR1173131,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211432,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211433,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211792,r,r,r,s,s,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211793,r,r,r,r,r,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211794,r,r,r,r,s,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211434,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211435,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS457295,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS458337,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS456836,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211795,r,r,r,r,r,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211796,r,r,r,s,r,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211797,r,r,s,s,s,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211798,r,r,r,s,r,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211799,r,r,r,r,r,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211800,r,r,r,r,s,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211436,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211801,r,r,r,r,r,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211802,r,r,r,r,r,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211803,r,r,r,r,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211437,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211438,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211804,s,s,s,s,s,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211805,r,r,r,r,r,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211806,r,r,r,r,s,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211807,r,r,r,r,r,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211808,r,r,r,r,s,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211809,r,r,r,r,s,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211810,r,r,r,r,r,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211439,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211811,r,r,r,nd,nd,s,nd,s,s,nd,nd,s,nd,s,nd,nd
ERS2211812,r,r,r,nd,nd,s,nd,s,s,nd,nd,s,nd,s,nd,nd
ERS2211813,r,r,r,nd,nd,s,nd,s,s,nd,nd,r,nd,s,nd,nd
ERS2211814,r,r,s,nd,nd,s,nd,s,s,nd,nd,s,nd,s,nd,nd
ERS2211815,r,r,r,nd,nd,r,nd,r,s,nd,nd,s,nd,s,nd,nd
ERS2211816,r,r,r,nd,nd,r,nd,r,s,nd,nd,s,nd,s,nd,nd
ERS2211817,r,r,r,nd,nd,s,nd,s,s,nd,nd,s,nd,s,nd,nd
ERS2211818,r,r,r,nd,nd,r,nd,r,s,nd,nd,s,nd,s,nd,nd
ERS2211819,r,r,r,nd,nd,s,nd,s,s,nd,nd,s,nd,s,nd,nd
ERS2211820,r,r,s,nd,nd,s,nd,s,s,nd,nd,s,nd,s,nd,nd
ERS2211821,r,r,r,nd,nd,r,nd,r,s,nd,nd,r,nd,s,nd,nd
ERS2211822,r,r,r,nd,nd,r,nd,s,s,nd,nd,s,nd,s,nd,nd
ERS2211823,r,r,r,nd,nd,s,nd,s,r,nd,nd,s,nd,s,nd,nd
ERS2211824,r,r,r,nd,nd,s,nd,s,s,nd,nd,s,nd,s,nd,nd
ERS2211825,r,r,s,nd,nd,s,nd,s,s,nd,nd,s,nd,s,nd,nd
ERS2211826,r,r,r,nd,nd,s,nd,s,s,nd,nd,s,nd,s,nd,nd
