accession,S,H,R,E,Z,Am,Km,Cm,Cs,Cfx,Ofx,PAS,Rbt,Mfx,Line,Eto
ERS2211495,s,s,s,r,r,nd,s,s,nd,s,s,r,nd,nd,s,s
ERR144570,r,r,r,s,s,s,nd,s,nd,nd,s,nd,nd,s,nd,nd
ERR144571,r,r,r,r,r,s,nd,s,nd,nd,s,nd,nd,s,nd,nd
ERR144581,r,r,r,s,r,s,nd,s,nd,nd,s,nd,nd,s,nd,nd
ERS457471,r,r,r,s,r,s,nd,s,s,nd,s,b,r,s,s,nd
ERS2211496,r,r,r,r,r,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211497,r,r,r,r,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211498,r,r,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERR144595,r,r,r,r,r,s,nd,s,nd,nd,r,nd,nd,r,nd,nd
ERS2211499,r,r,r,r,r,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211500,r,r,r,r,s,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211501,r,r,r,s,s,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERR108453,r,r,r,r,r,s,nd,s,nd,nd,r,nd,nd,r,nd,nd
ERS2211502,r,r,r,r,r,s,nd,s,s,nd,s,s,r,nd,s,r
ERS2211503,r,r,r,r,r,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211504,r,r,r,s,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211505,r,r,r,r,r,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERR144607,r,r,r,r,r,s,nd,s,nd,nd,s,nd,nd,s,nd,nd
ERS2211506,r,r,r,r,s,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211507,r,r,r,r,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERR144623,r,r,r,s,s,s,nd,s,nd,nd,r,nd,nd,r,nd,nd
ERS2211508,r,r,r,r,r,s,nd,s,s,nd,s,s,nd,nd,s,r
ERR144635,r,r,r,r,r,s,nd,s,nd,nd,s,nd,nd,s,nd,nd
ERS2211509,r,r,r,r,r,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERR158581,r,r,r,r,s,s,nd,s,nd,nd,s,nd,nd,s,nd,nd
ERS2211510,r,r,r,r,r,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211511,r,r,r,r,s,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERR158587,r,r,r,r,r,s,nd,s,nd,nd,r,nd,nd,r,nd,nd
ERR158588,r,r,r,r,r,r,nd,r,nd,nd,r,nd,nd,r,nd,nd
ERS2211512,r,r,r,r,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211513,r,r,r,r,r,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211514,r,r,r,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERR228039,r,r,r,r,r,s,nd,s,nd,nd,s,nd,nd,s,nd,nd
ERS2211515,r,r,r,r,s,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211516,r,r,r,r,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERR227976,r,r,r,s,s,s,nd,s,nd,nd,s,nd,nd,s,nd,nd
ERR227977,r,r,r,r,s,s,nd,s,nd,nd,s,nd,nd,s,nd,nd
ERS2211517,r,r,r,r,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211518,r,r,r,s,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERR228028,r,r,r,r,r,s,nd,s,nd,nd,s,nd,nd,s,nd,nd
ERS2211519,r,r,r,r,s,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERR229955,r,r,r,r,s,s,nd,s,nd,nd,s,nd,nd,r,nd,nd
ERS2211520,r,r,r,r,s,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERR229995,r,r,r,s,s,s,nd,s,nd,nd,s,nd,nd,s,nd,nd
ERS2211521,r,r,r,r,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211522,r,r,r,r,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERR229949,r,r,r,r,r,s,nd,s,nd,nd,s,nd,nd,s,nd,nd
ERR229982,r,r,r,r,r,r,nd,r,nd,nd,r,nd,nd,r,nd,nd
ERS457735,r,r,r,r,s,r,nd,s,s,nd,s,s,nd,nd,nd,s
ERS2211523,r,r,r,r,s,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERR230006,r,r,r,r,s,r,nd,s,nd,nd,s,nd,nd,s,nd,nd
ERS2211524,r,r,r,r,r,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERR230007,r,r,r,r,s,s,nd,s,nd,nd,s,nd,nd,s,nd,nd
ERS458471,nd,nd,r,s,nd,nd,nd,nd,nd,nd,s,nd,nd,nd,nd,nd
ERR229936,r,r,r,r,r,s,nd,s,nd,nd,s,nd,nd,s,nd,nd
ERS457771,r,r,r,r,r,nd,nd,s,s,nd,s,nd,nd,nd,s,s
ERR229976,r,r,r,r,s,s,nd,s,nd,nd,r,nd,nd,r,nd,nd
ERS457384,r,r,r,s,r,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERR229929,r,r,r,r,r,s,nd,r,nd,nd,r,nd,nd,r,nd,nd
ERR229969,r,r,r,s,r,s,nd,s,nd,nd,s,nd,nd,s,nd,nd
ERS2211525,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERR234668,r,r,r,r,r,s,nd,s,nd,nd,r,nd,nd,s,nd,nd
ERS2211526,r,r,r,r,r,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211527,r,r,r,r,r,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211528,r,r,r,r,r,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS457651,r,r,r,r,s,s,nd,s,s,nd,s,s,r,s,s,s
ERS2211529,r,r,r,r,r,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211530,r,r,r,r,r,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS457562,r,r,r,r,s,s,nd,s,s,nd,s,s,r,nd,s,s
ERS2211531,r,r,s,s,s,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211532,r,r,r,r,s,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211533,r,r,r,r,r,nd,nd,s,s,nd,r,r,nd,nd,s,s
ERS2211534,nd,r,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211535,r,r,r,r,r,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211536,r,r,s,s,s,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211537,r,r,r,r,r,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211538,r,r,r,r,s,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211539,r,r,r,r,s,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211540,r,r,s,s,s,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211541,r,r,r,s,s,r,nd,r,s,nd,s,s,nd,s,s,s
ERS456910,r,r,r,r,s,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211542,r,r,r,r,r,s,nd,s,s,nd,s,nd,nd,nd,nd,s
ERS2211543,r,r,r,r,r,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211544,r,r,r,r,r,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211545,r,r,r,r,r,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211546,r,r,s,s,s,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211547,r,r,r,r,r,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS458596,r,r,r,r,s,r,nd,s,s,nd,s,s,nd,nd,nd,s
ERS2211548,r,r,r,r,s,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211549,r,r,r,r,s,r,nd,r,s,nd,s,s,nd,nd,nd,r
ERS2211550,r,r,r,r,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211551,r,r,r,r,s,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211552,nd,nd,r,nd,nd,s,nd,s,s,nd,s,s,nd,s,s,s
ERS2211553,r,r,r,r,r,nd,nd,s,s,nd,s,nd,nd,nd,s,s
ERS457987,r,r,r,r,s,nd,nd,s,nd,nd,s,nd,nd,nd,s,s
ERS2211554,r,r,r,r,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211555,nd,r,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS457197,r,r,r,r,r,r,nd,r,s,nd,s,s,r,s,s,nd
ERS2211556,r,r,r,r,r,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
