study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	instrument_platform	instrument_model	fastq_ftp	sample_alias
PRJNA343956	SAMN05806784	SRX2245348	SRR4423164	1773	Mycobacterium tuberculosis	ILLUMINA	Illumina MiSeq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR442/004/SRR4423164/SRR4423164_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR442/004/SRR4423164/SRR4423164_2.fastq.gz	ITM-092032
PRJNA343956	SAMN05806783	SRX2245349	SRR4423165	1773	Mycobacterium tuberculosis	ILLUMINA	Illumina MiSeq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR442/005/SRR4423165/SRR4423165_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR442/005/SRR4423165/SRR4423165_2.fastq.gz	ITM-091980
PRJNA343956	SAMN05806785	SRX2245350	SRR4423166	1773	Mycobacterium tuberculosis	ILLUMINA	Illumina MiSeq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR442/006/SRR4423166/SRR4423166_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR442/006/SRR4423166/SRR4423166_2.fastq.gz	ITM-092333
PRJNA343956	SAMN05806780	SRX2245351	SRR4423167	1773	Mycobacterium tuberculosis	ILLUMINA	Illumina MiSeq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR442/007/SRR4423167/SRR4423167_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR442/007/SRR4423167/SRR4423167_2.fastq.gz	ITM-090798
PRJNA343956	SAMN05806779	SRX2245352	SRR4423168	1773	Mycobacterium tuberculosis	ILLUMINA	Illumina MiSeq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR442/008/SRR4423168/SRR4423168_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR442/008/SRR4423168/SRR4423168_2.fastq.gz	ITM-090523
PRJNA343956	SAMN05806782	SRX2245353	SRR4423169	1773	Mycobacterium tuberculosis	ILLUMINA	Illumina MiSeq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR442/009/SRR4423169/SRR4423169_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR442/009/SRR4423169/SRR4423169_2.fastq.gz	ITM-091130
PRJNA343956	SAMN05806781	SRX2245354	SRR4423170	1773	Mycobacterium tuberculosis	ILLUMINA	Illumina MiSeq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR442/000/SRR4423170/SRR4423170_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR442/000/SRR4423170/SRR4423170_2.fastq.gz	ITM-091126
PRJNA343956	SAMN05806756	SRX2245355	SRR4423171	1773	Mycobacterium tuberculosis	ILLUMINA	Illumina MiSeq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR442/001/SRR4423171/SRR4423171_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR442/001/SRR4423171/SRR4423171_2.fastq.gz	ITM-120718
PRJNA343956	SAMN05806739	SRX2245356	SRR4423172	1773	Mycobacterium tuberculosis	ILLUMINA	Illumina MiSeq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR442/002/SRR4423172/SRR4423172_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR442/002/SRR4423172/SRR4423172_2.fastq.gz	ITM-100271
PRJNA343956	SAMN05806740	SRX2245357	SRR4423173	1773	Mycobacterium tuberculosis	ILLUMINA	Illumina MiSeq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR442/003/SRR4423173/SRR4423173_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR442/003/SRR4423173/SRR4423173_2.fastq.gz	ITM-100380
PRJNA343956	SAMN05806741	SRX2245358	SRR4423174	1773	Mycobacterium tuberculosis	ILLUMINA	Illumina MiSeq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR442/004/SRR4423174/SRR4423174_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR442/004/SRR4423174/SRR4423174_2.fastq.gz	ITM-101140
PRJNA343956	SAMN05806742	SRX2245359	SRR4423175	1773	Mycobacterium tuberculosis	ILLUMINA	Illumina MiSeq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR442/005/SRR4423175/SRR4423175_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR442/005/SRR4423175/SRR4423175_2.fastq.gz	ITM-101142
PRJNA343956	SAMN05806743	SRX2245360	SRR4423176	1773	Mycobacterium tuberculosis	ILLUMINA	Illumina MiSeq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR442/006/SRR4423176/SRR4423176_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR442/006/SRR4423176/SRR4423176_2.fastq.gz	ITM-101661
PRJNA343956	SAMN05806744	SRX2245361	SRR4423177	1773	Mycobacterium tuberculosis	ILLUMINA	Illumina MiSeq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR442/007/SRR4423177/SRR4423177_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR442/007/SRR4423177/SRR4423177_2.fastq.gz	ITM-101905
PRJNA343956	SAMN05806745	SRX2245362	SRR4423178	1773	Mycobacterium tuberculosis	ILLUMINA	Illumina MiSeq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR442/008/SRR4423178/SRR4423178_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR442/008/SRR4423178/SRR4423178_2.fastq.gz	ITM-102106
PRJNA343956	SAMN05806746	SRX2245363	SRR4423179	1773	Mycobacterium tuberculosis	ILLUMINA	Illumina MiSeq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR442/009/SRR4423179/SRR4423179_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR442/009/SRR4423179/SRR4423179_2.fastq.gz	ITM-102627
PRJNA343956	SAMN05806747	SRX2245364	SRR4423180	1773	Mycobacterium tuberculosis	ILLUMINA	Illumina MiSeq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR442/000/SRR4423180/SRR4423180_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR442/000/SRR4423180/SRR4423180_2.fastq.gz	ITM-102808
PRJNA343956	SAMN05806748	SRX2245365	SRR4423181	1773	Mycobacterium tuberculosis	ILLUMINA	Illumina MiSeq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR442/001/SRR4423181/SRR4423181_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR442/001/SRR4423181/SRR4423181_2.fastq.gz	ITM-110113
