run,amikacin,bioproject,biosample,ethambutol,ethionamide,isoniazid,kanamycin,ofloxacin,pyrazinamide,rifampicin,streptomycin
SRR18911583,,PRJNA650381,SAMN27762817,S,,S,,,S,S,
SRR18911582,,PRJNA650381,SAMN27762818,S,,S,,,S,S,
SRR18911581,,PRJNA650381,SAMN27762819,S,,S,,,S,S,
SRR18911598,,PRJNA650381,SAMN27762820,S,,S,,,S,S,
SRR18911597,,PRJNA650381,SAMN27762821,S,S,S,,,S,S,
SRR18911596,,PRJNA650381,SAMN27762822,S,,S,,,S,S,
SRR18911594,,PRJNA650381,SAMN27762824,S,,S,,,S,S,
SRR18911593,,PRJNA650381,SAMN27762825,,S,,,,,,
SRR18911591,S,PRJNA650381,SAMN27762827,S,R,R,S,S,S,S,S
SRR18911590,,PRJNA650381,SAMN27762828,,S,,,,,,
SRR18911883,,PRJNA650381,SAMN27763043,S,,S,,,S,S,
SRR18911882,,PRJNA650381,SAMN27763044,S,,S,,,S,S,
SRR18911871,S,PRJNA650381,SAMN27763045,S,S,R,S,S,S,S,S
SRR18911870,,PRJNA650381,SAMN27763046,S,,S,,,S,S,
SRR18911869,S,PRJNA650381,SAMN27763047,S,S,R,S,S,S,S,S
SRR18911868,S,PRJNA650381,SAMN27763048,S,S,S,S,R,S,S,S
SRR18911867,,PRJNA650381,SAMN27763049,,,,,,S,,
SRR18911880,,PRJNA650381,SAMN27763054,,,,,,S,,
SRR18911878,,PRJNA650381,SAMN27763056,S,,S,,,S,S,
SRR18911877,,PRJNA650381,SAMN27763057,S,,S,,,S,S,
SRR18911876,,PRJNA650381,SAMN27763058,S,,S,,,S,S,
SRR18911875,,PRJNA650381,SAMN27763059,S,S,R,,,S,S,
SRR18911874,R,PRJNA650381,SAMN27763060,R,R,R,R,S,R,S,R
SRR18911873,,PRJNA650381,SAMN27763061,S,,S,,,S,S,
SRR18911872,,PRJNA650381,SAMN27763062,S,,S,,,S,S,
SRR18911922,,PRJNA650381,SAMN27763093,S,,S,,,S,S,
SRR18911921,,PRJNA650381,SAMN27763094,S,,S,,,S,S,
SRR18911910,,PRJNA650381,SAMN27763095,S,,S,,,S,S,
SRR18911908,,PRJNA650381,SAMN27763097,S,,S,,,S,S,
SRR18911907,,PRJNA650381,SAMN27763098,S,,S,,,S,S,
SRR18911906,,PRJNA650381,SAMN27763099,S,,S,,,S,S,
SRR18911904,,PRJNA650381,SAMN27763101,,,,,S,,,
SRR18911918,S,PRJNA650381,SAMN27763105,S,S,R,S,S,S,S,S
SRR18911917,,PRJNA650381,SAMN27763106,S,,S,,,S,S,
SRR18911916,,PRJNA650381,SAMN27763107,S,,S,,,S,S,
SRR18911915,,PRJNA650381,SAMN27763108,S,,S,,,S,S,
SRR18911913,,PRJNA650381,SAMN27763110,S,,S,,,S,S,
SRR18911912,,PRJNA650381,SAMN27763111,S,,S,,,S,S,
SRR18911911,,PRJNA650381,SAMN27763112,S,,S,,,S,S,
SRR18911997,,PRJNA650381,SAMN27763132,S,,S,,,S,S,
SRR18911996,,PRJNA650381,SAMN27763133,S,,S,,,S,S,
SRR18911985,,PRJNA650381,SAMN27763134,S,,S,,,S,S,
SRR18911983,,PRJNA650381,SAMN27763136,,,S,,,,,
SRR18911981,,PRJNA650381,SAMN27763138,S,,S,,,S,S,
SRR18911979,S,PRJNA650381,SAMN27763140,S,S,S,S,S,S,S,R
SRR18911978,,PRJNA650381,SAMN27763141,S,,S,,,S,S,
SRR18911995,,PRJNA650381,SAMN27763142,S,,S,,,S,S,
SRR18911993,S,PRJNA650381,SAMN27763144,R,S,R,R,S,S,R,S
SRR18911992,S,PRJNA650381,SAMN27763145,S,S,R,S,S,R,S,R
SRR18911991,,PRJNA650381,SAMN27763146,S,,S,,,S,S,
SRR18911990,S,PRJNA650381,SAMN27763147,S,R,R,S,S,S,S,S
SRR18911987,,PRJNA650381,SAMN27763150,S,,S,,,S,S,
SRR18911986,S,PRJNA650381,SAMN27763151,S,S,R,S,S,S,S,R
SRR18912560,,PRJNA650381,SAMN27763790,S,,S,,,S,S,
SRR18912559,,PRJNA650381,SAMN27763791,S,,S,,,S,S,
SRR18912548,,PRJNA650381,SAMN27763792,S,,S,,,S,S,
SRR18912547,,PRJNA650381,SAMN27763793,S,,S,,,S,S,
SRR18912546,,PRJNA650381,SAMN27763794,S,,S,,,S,S,
SRR18912545,,PRJNA650381,SAMN27763795,S,,S,,,S,S,
SRR18912544,S,PRJNA650381,SAMN27763796,S,S,S,S,S,S,S,S
SRR18912543,,PRJNA650381,SAMN27763797,S,,S,,,R,S,
SRR18912558,,PRJNA650381,SAMN27763800,S,,S,,,S,S,
SRR18912557,,PRJNA650381,SAMN27763801,S,,S,,,S,S,
SRR18912556,,PRJNA650381,SAMN27763802,S,,S,,,S,S,
SRR18912555,,PRJNA650381,SAMN27763803,,S,,,,,,
SRR18912554,,PRJNA650381,SAMN27763804,S,,S,,,S,S,
SRR18912552,,PRJNA650381,SAMN27763806,S,,S,,,S,S,
SRR18912551,,PRJNA650381,SAMN27763807,,S,,,,,,
SRR18912549,S,PRJNA650381,SAMN27763809,S,S,R,S,R,S,S,S
SRR18913001,,PRJNA650381,SAMN27764174,,,S,,,,,
SRR18912990,,PRJNA650381,SAMN27764175,S,,S,,,S,S,
SRR18912989,S,PRJNA650381,SAMN27764176,S,R,R,S,S,S,S,S
SRR18912988,,PRJNA650381,SAMN27764177,S,,S,,,S,S,
SRR18912987,,PRJNA650381,SAMN27764178,S,,S,,,S,S,
SRR18912986,S,PRJNA650381,SAMN27764179,S,S,R,S,S,S,S,S
SRR18912985,,PRJNA650381,SAMN27764180,S,,S,,,S,S,
SRR18912984,S,PRJNA650381,SAMN27764181,S,S,R,S,S,S,S,R
SRR18913000,,PRJNA650381,SAMN27764183,S,,S,,,S,S,
SRR18912999,,PRJNA650381,SAMN27764184,S,,S,,,S,S,
SRR18912997,,PRJNA650381,SAMN27764186,S,,S,,,S,S,
SRR18912996,,PRJNA650381,SAMN27764187,S,,S,,,S,S,
SRR18912995,,PRJNA650381,SAMN27764188,S,,S,,,S,S,
SRR18912994,S,PRJNA650381,SAMN27764189,R,R,R,S,S,R,R,R
SRR18912992,,PRJNA650381,SAMN27764191,,,S,,,,S,
SRR18913797,,PRJNA650381,SAMN27764232,S,,S,,,S,S,
SRR18913785,S,PRJNA650381,SAMN27764234,S,S,R,S,S,S,S,S
SRR18913784,,PRJNA650381,SAMN27764235,S,,S,,,S,S,
SRR18913783,,PRJNA650381,SAMN27764236,S,,S,,,S,S,
SRR18913781,,PRJNA650381,SAMN27764238,S,,S,,,S,S,
SRR18913779,,PRJNA650381,SAMN27764240,,S,S,,,S,S,S
SRR18913795,S,PRJNA650381,SAMN27764242,S,S,R,S,S,S,R,S
SRR18913794,,PRJNA650381,SAMN27764243,S,S,S,,,S,S,
SRR18913793,,PRJNA650381,SAMN27764244,S,,S,,,S,S,
SRR18913791,S,PRJNA650381,SAMN27764246,S,R,R,S,R,S,S,S
SRR18913789,,PRJNA650381,SAMN27764248,,S,S,,,,,
SRR18913788,,PRJNA650381,SAMN27764249,,,S,,,,,
SRR18913760,,PRJNA650381,SAMN27764275,,,S,,,,,
SRR18913748,,PRJNA650381,SAMN27764277,S,,S,,,R,S,
SRR18913747,,PRJNA650381,SAMN27764278,S,,S,,,S,S,
SRR18913745,,PRJNA650381,SAMN27764280,S,,S,,,S,S,
SRR18913744,,PRJNA650381,SAMN27764281,S,,S,,,S,S,
SRR18913743,,PRJNA650381,SAMN27764282,S,,S,,,S,S,
SRR18913756,,PRJNA650381,SAMN27764287,,S,,,,,,
SRR18913755,,PRJNA650381,SAMN27764288,,S,,,,,S,
SRR18913754,S,PRJNA650381,SAMN27764289,S,S,R,S,S,S,S,S
SRR18913752,,PRJNA650381,SAMN27764291,S,,S,,,S,S,
SRR18913751,,PRJNA650381,SAMN27764292,,,S,,,,,
SRR18913750,,PRJNA650381,SAMN27764293,,S,,,,,,
SRR18913749,,PRJNA650381,SAMN27764294,,,S,,,S,S,
SRR18914041,,PRJNA650381,SAMN27764439,S,,S,,,S,S,
SRR18914040,,PRJNA650381,SAMN27764440,S,,S,,,S,S,
SRR18914029,,PRJNA650381,SAMN27764441,S,,S,,,S,S,
SRR18914027,S,PRJNA650381,SAMN27764443,S,S,R,S,S,S,R,R
SRR18914026,,PRJNA650381,SAMN27764444,S,,S,,,,S,
SRR18914022,,PRJNA650381,SAMN27764448,S,,S,,,R,S,
SRR18914039,S,PRJNA650381,SAMN27764449,S,S,S,S,S,S,S,S
SRR18914038,,PRJNA650381,SAMN27764450,S,,S,,,S,S,
SRR18914037,,PRJNA650381,SAMN27764451,S,S,S,,,S,S,
SRR18914036,,PRJNA650381,SAMN27764452,S,,S,,,S,S,
SRR18914035,,PRJNA650381,SAMN27764453,S,,S,,,S,S,
SRR18914034,,PRJNA650381,SAMN27764454,S,,S,,,S,S,
SRR18914033,,PRJNA650381,SAMN27764455,S,,S,,,S,S,
SRR18914032,,PRJNA650381,SAMN27764456,S,,S,,,S,S,
SRR18914031,,PRJNA650381,SAMN27764457,S,,S,,,R,S,
SRR18914030,,PRJNA650381,SAMN27764458,S,,S,,,S,S,
SRR18914246,,PRJNA650381,SAMN27765542,S,,S,,,S,S,
SRR18914245,,PRJNA650381,SAMN27765543,S,,S,,,S,S,
SRR18914234,,PRJNA650381,SAMN27765544,S,,S,,,S,S,
SRR18914233,,PRJNA650381,SAMN27765545,S,,S,,,S,S,
SRR18914232,,PRJNA650381,SAMN27765546,S,S,S,,,S,S,
SRR18914231,,PRJNA650381,SAMN27765547,,,,,,S,,
SRR18914228,,PRJNA650381,SAMN27765550,S,,S,,,S,S,
SRR18914227,,PRJNA650381,SAMN27765551,S,,S,,,S,S,
SRR18914244,,PRJNA650381,SAMN27765552,S,,S,,,R,S,
SRR18914243,S,PRJNA650381,SAMN27765553,S,S,R,S,S,S,S,R
SRR18914240,,PRJNA650381,SAMN27765556,,,,,R,,,
SRR18914239,,PRJNA650381,SAMN27765557,,,,,,R,,
SRR18914238,,PRJNA650381,SAMN27765558,,S,,,,,,
SRR18914237,S,PRJNA650381,SAMN27765559,S,S,R,S,S,S,S,R
SRR18914235,,PRJNA650381,SAMN27765561,S,,S,,,S,S,
SRR18914183,,PRJNA650381,SAMN27765613,S,,S,,,S,S,
SRR18914182,S,PRJNA650381,SAMN27765614,S,S,R,S,S,S,S,R
SRR18914171,S,PRJNA650381,SAMN27765615,S,S,R,S,S,S,S,S
SRR18914170,,PRJNA650381,SAMN27765616,S,,S,,,S,S,
SRR18914169,,PRJNA650381,SAMN27765617,S,,S,,,S,S,
SRR18914168,,PRJNA650381,SAMN27765618,S,,S,,,S,S,
SRR18914167,,PRJNA650381,SAMN27765619,S,,S,,,S,S,
SRR18914166,,PRJNA650381,SAMN27765620,S,,S,,,S,S,
SRR18914165,,PRJNA650381,SAMN27765621,S,S,S,,,S,S,
SRR18914164,,PRJNA650381,SAMN27765622,S,,S,,,S,S,
SRR18914177,,PRJNA650381,SAMN27765627,S,,S,,,S,S,
SRR18914176,,PRJNA650381,SAMN27765628,S,,S,,,,S,
SRR18914175,S,PRJNA650381,SAMN27765629,S,S,R,S,S,S,R,R
SRR18914174,,PRJNA650381,SAMN27765630,S,,S,,,S,S,
SRR18914173,S,PRJNA650381,SAMN27765631,S,R,R,S,S,S,S,R
SRR18914172,,PRJNA650381,SAMN27765632,S,,S,,,S,S,
SRR18914190,,PRJNA650381,SAMN27765849,S,,S,,,S,S,
SRR18914189,,PRJNA650381,SAMN27765850,S,S,S,,,S,S,
SRR18914188,S,PRJNA650381,SAMN27765851,S,R,S,S,S,S,S,S
SRR18914187,,PRJNA650381,SAMN27765852,S,,S,,,S,S,
SRR18914186,S,PRJNA650381,SAMN27765853,S,S,R,S,S,S,R,R
SRR18914185,,PRJNA650381,SAMN27765854,S,,S,,,S,S,
SRR18914184,,PRJNA650381,SAMN27765855,S,,S,,,R,S,
