run,amikacin,bedaquiline,bioproject,biosample,capreomycin,ciprofloxacin,clofazimine,cycloserine,delamanid,ethambutol,ethionamide,gatifloxacin,isoniazid,kanamycin,levofloxacin,linezolid,moxifloxacin,ofloxacin,para-aminosalicylic_acid,pyrazinamide,rifabutin,rifampicin,streptomycin,thioacetazone
ERR2041788,,,PRJEB21809,SAMEA104172514,S,,,,,S,,,R,,,,,,,R,,R,S,
ERR2041789,,,PRJEB21809,SAMEA104172436,R,,,,,R,,,R,,,,,,,R,,R,R,
ERR2041790,,,PRJEB21809,SAMEA104172459,S,,,,,R,,,R,,,,,,,R,,R,R,
ERR2041791,,,PRJEB21809,SAMEA104172459,S,,,,,R,,,R,,,,,,,R,,R,R,
ERR2041792,,,PRJEB21809,SAMEA104172515,S,,,,,S,,,R,,,,,,,S,,R,S,
ERR2041793,,,PRJEB21809,SAMEA104172515,S,,,,,S,,,R,,,,,,,S,,R,S,
ERR2041794,,,PRJEB21809,SAMEA104172478,S,,,,,S,,,R,,,,,,,S,,R,S,
ERR2041795,,,PRJEB21809,SAMEA104172453,S,,,,,R,,,R,,,,,,,S,,R,R,
ERR2041796,,,PRJEB21809,SAMEA104172461,S,,,,,R,,,R,,,,,,,R,,R,R,
ERR2041797,,,PRJEB21809,SAMEA104172454,S,,,,,R,,,R,,,,,,,S,,R,R,
ERR2041798,,,PRJEB21809,SAMEA104172454,S,,,,,R,,,R,,,,,,,S,,R,R,
ERR2041799,,,PRJEB21809,SAMEA104172422,S,,,,,S,,,R,,,,,,,R,,R,R,
ERR2041800,,,PRJEB21809,SAMEA104172422,S,,,,,S,,,R,,,,,,,R,,R,R,
ERR2041801,,,PRJEB21809,SAMEA104172481,S,,,,,R,,,R,,,,,,,R,,R,R,
ERR2041802,,,PRJEB21809,SAMEA104172481,S,,,,,R,,,R,,,,,,,R,,R,R,
ERR2041803,,,PRJEB21809,SAMEA104172511,S,,,,,R,S,,R,,,,,S,S,S,,R,R,
ERR2041804,,,PRJEB21809,SAMEA104172500,S,,,,,S,,,R,,,,,,,S,,R,S,
ERR2041805,,,PRJEB21809,SAMEA104172467,S,,,,,S,,,R,,,,,,,S,,R,R,
ERR2041928,,,PRJEB21922,SAMEA104172659,,,,,,S,S,,R,,S,,,,,S,,R,R,
ERR2041929,S,,PRJEB21922,SAMEA104172667,S,,,,,S,,,R,,S,,,,,S,,R,R,
ERR2041930,,,PRJEB21922,SAMEA104172651,,,,,,R,,,R,,S,,,,,,,R,R,
ERR2041931,,,PRJEB21922,SAMEA104172655,,,,,,R,S,,R,,,,,,,,,R,R,
ERR2041932,,,PRJEB21922,SAMEA104172654,,,,,,R,S,,R,,,,,,,,,R,R,
ERR2041935,,,PRJEB21922,SAMEA104172656,,,,,,R,R,,R,,S,,,,,S,,R,,
ERR2041937,,,PRJEB21922,SAMEA104172653,,,,,,S,S,,R,,,,,,,,,R,R,
ERR2041938,S,,PRJEB21922,SAMEA104172663,S,,,,,R,R,,R,,S,,,,,R,,R,R,
ERR2041939,,,PRJEB21922,SAMEA104172665,,,,,,R,S,,R,,S,,,,,S,,R,R,
ERR2041940,S,,PRJEB21922,SAMEA104172666,S,,,,,R,R,,R,,S,,,,,R,,R,R,
ERR2041941,,,PRJEB21922,SAMEA104172657,,,,,,S,S,,R,,S,,,,,R,,R,,
ERR2041942,,,PRJEB21922,SAMEA104172668,S,,,,,R,S,,R,,S,S,,,,S,,R,R,
ERR2041943,S,,PRJEB21922,SAMEA104172664,S,,,,,S,S,,R,,S,,,,,S,,R,R,
ERR2041944,,,PRJEB21922,SAMEA104172658,,,,,,R,R,,R,,,,,,,R,,R,,
ERR2041945,,,PRJEB21922,SAMEA104172652,,,,,,R,S,,R,,S,,,,,,,R,R,
ERR2099780,,,PRJEB22237,SAMEA104221062,,,,,,S,,,S,,,,,,,S,,S,S,
ERR2099784,,,PRJEB22237,SAMEA104221066,,,,,,S,,,R,,,,,,,S,,S,S,
ERR211990,,,PRJEB2794,SAMEA1569295,,,,,,S,,,R,,,,,,,S,,S,S,
ERR211991,,,PRJEB2794,SAMEA1569290,,,,,,,,,S,,,,,,,,,S,,
ERR211993,,,PRJEB2794,SAMEA1569214,,,,,,,,,S,,,,,,,,,S,,
ERR211994,,,PRJEB2794,SAMEA1569216,,,,,,,,,S,,,,,,,,,S,,
ERR211996,,,PRJEB2794,SAMEA1569226,,,,,,,,,S,,,,,,,,,S,,
ERR211997,,,PRJEB2794,SAMEA1569218,,,,,,,,,S,,,,,,,,,S,,
ERR211998,,,PRJEB2794,SAMEA1569232,,,,,,S,,,R,,,,,,,S,,S,S,
ERR211999,,,PRJEB2794,SAMEA1569227,,,,,,,,,S,,,,,,,,,S,,
ERR212000,,,PRJEB2794,SAMEA1569096,,,,,,,,,S,,,,,,,,,S,,
ERR212002,,,PRJEB2794,SAMEA1569353,,,,,,,,,S,,,,,,,,,S,,
ERR212004,,,PRJEB2794,SAMEA1569344,,,,,,,,,S,,,,,,,,,S,,
ERR212005,,,PRJEB2794,SAMEA1569343,,,,,,,,,S,,,,,,,,,S,,
ERR212006,,,PRJEB2794,SAMEA1569339,,,,,,S,,,R,,,,,,,S,,S,S,
ERR212007,,,PRJEB2794,SAMEA1569359,,,,,,S,,,S,,,,,,,S,,S,S,
ERR212009,,,PRJEB2794,SAMEA1569356,,,,,,S,,,S,,,,,,,S,,S,S,
ERR212010,,,PRJEB2794,SAMEA1569354,,,,,,S,,,S,,,,,,,S,,S,S,
ERR212011,,,PRJEB2794,SAMEA1569306,,,,,,S,,,S,,,,,,,S,,S,S,
ERR212012,,,PRJEB2794,SAMEA1569312,,,,,,S,,,S,,,,,,,S,,S,S,
ERR212013,,,PRJEB2794,SAMEA1569183,,,,,,,,,S,,,,,,,,,S,,
ERR212017,,,PRJEB2794,SAMEA1569191,,,,,,S,,,R,,,,,,,S,,S,S,
ERR212019,,,PRJEB2794,SAMEA1569153,,,,,,,,,S,,,,,,,,,S,,
ERR212020,,,PRJEB2794,SAMEA1569158,,,,,,,,,S,,,,,,,,,S,,
ERR212021,,,PRJEB2794,SAMEA1569141,,,,,,S,,,R,,,,,,,S,,R,S,
ERR212022,,,PRJEB2794,SAMEA1569142,,,,,,,,,S,,,,,,,,,S,,
ERR212023,,,PRJEB2794,SAMEA1569148,,,,,,,,,S,,,,,,,,,S,,
ERR212024,,,PRJEB2794,SAMEA1569152,,,,,,S,,,S,,,,,,,S,,S,S,
ERR212025,,,PRJEB2794,SAMEA1569111,,,,,,S,,,R,,,,,,,S,,S,S,
ERR212027,,,PRJEB2794,SAMEA1569129,,,,,,,,,S,,,,,,,,,S,,
ERR212029,,,PRJEB2794,SAMEA1569351,,,,,,,,,S,,,,,,,,,S,,
ERR212030,,,PRJEB2794,SAMEA1569263,,,,,,,,,S,,,,,,,,,S,,
ERR212031,,,PRJEB2794,SAMEA1569267,,,,,,,,,S,,,,,,,,,S,,
ERR212032,,,PRJEB2794,SAMEA1569249,,,,,,,,,S,,,,,,,,,S,,
ERR212036,,,PRJEB2794,SAMEA1569247,,,,,,S,,,R,,,,,,,S,,S,S,
ERR212037,,,PRJEB2794,SAMEA1569316,,,,,,S,,,S,,,,,,,S,,S,S,
ERR212038,,,PRJEB2794,SAMEA1569324,,,,,,,,,S,,,,,,,,,S,,
ERR212039,,,PRJEB2794,SAMEA1569308,,,,,,,,,S,,,,,,,,,S,,
ERR212040,,,PRJEB2794,SAMEA1569294,,,,,,S,,,S,,,,,,,S,,S,S,
ERR212044,,,PRJEB2794,SAMEA1569347,,,,,,,,,S,,,,,,,,,S,,
ERR212045,,,PRJEB2794,SAMEA1569345,,,,,,,,,S,,,,,,,,,S,,
ERR212046,,,PRJEB2794,SAMEA1569342,,,,,,,,,S,,,,,,,,,S,,
ERR212047,,,PRJEB2794,SAMEA1569338,,,,,,,,,S,,,,,,,,,S,,
ERR212048,,,PRJEB2794,SAMEA1569336,,,,,,,,,S,,,,,,,,,S,,
ERR212049,,,PRJEB2794,SAMEA1569130,,,,,,,,,S,,,,,,,,,S,,
ERR212050,,,PRJEB2794,SAMEA1569136,,,,,,,,,S,,,,,,,,,S,,
ERR212051,,,PRJEB2794,SAMEA1569131,,,,,,,,,S,,,,,,,,,S,,
ERR212053,,,PRJEB2794,SAMEA1569121,,,,,,,,,S,,,,,,,,,S,,
ERR212056,,,PRJEB2794,SAMEA1569180,,,,,,,,,S,,,,,,,,,S,,
ERR212058,,,PRJEB2794,SAMEA1569178,,,,,,R,,,R,,,,,,,S,,S,S,
ERR212059,,,PRJEB2794,SAMEA1569252,,,,,,S,,,R,,,,,,,S,,S,S,
ERR212060,,,PRJEB2794,SAMEA1569255,,,,,,,,,S,,,,,,,,,S,,
ERR212063,,,PRJEB2794,SAMEA1569311,,,,,,,,,S,,,,,,,,,S,,
ERR212064,,,PRJEB2794,SAMEA1569318,,,,,,,,,S,,,,,,,,,S,,
ERR212065,,,PRJEB2794,SAMEA1569321,,,,,,,,,S,,,,,,,,,S,,
ERR212066,,,PRJEB2794,SAMEA1569282,,,,,,,,,S,,,,,,,,,S,,
ERR212067,,,PRJEB2794,SAMEA1569289,,,,,,,,,S,,,,,,,,,S,,
ERR212068,,,PRJEB2794,SAMEA1569285,,,,,,,,,S,,,,,,,,,S,,
ERR212069,,,PRJEB2794,SAMEA1569132,,,,,,,,,S,,,,,,,,,S,,
ERR212070,,,PRJEB2794,SAMEA1569128,,,,,,,,,S,,,,,,,,,S,,
ERR212071,,,PRJEB2794,SAMEA1569123,,,,,,,,,S,,,,,,,,,S,,
ERR212072,,,PRJEB2794,SAMEA1569115,,,,,,,,,S,,,,,,,,,S,,
ERR212073,,,PRJEB2794,SAMEA1569114,,,,,,,,,S,,,,,,,,,S,,
ERR212075,,,PRJEB2794,SAMEA1569146,,,,,,,,,S,,,,,,,,,S,,
ERR212077,,,PRJEB2794,SAMEA1569140,,,,,,,,,S,,,,,,,,,S,,
ERR212078,,,PRJEB2794,SAMEA1569100,,,,,,,,,R,,,,,,,S,,S,S,
ERR212079,,,PRJEB2794,SAMEA1569155,,,,,,,,,S,,,,,,,,,S,,
ERR212080,,,PRJEB2794,SAMEA1569164,,,,,,S,,,S,,,,,,,S,,S,S,
ERR212081,,,PRJEB2794,SAMEA1569189,,,,,,,,,S,,,,,,,,,S,,
ERR212083,,,PRJEB2794,SAMEA1569173,,,,,,S,,,S,,,,,,,S,,S,S,
ERR212085,,,PRJEB2794,SAMEA1569185,,,,,,S,,,S,,,,,,,S,,S,S,
ERR212086,,,PRJEB2794,SAMEA1569288,,,,,,S,,,S,,,,,,,,,S,S,
ERR212088,,,PRJEB2794,SAMEA1569302,,,,,,S,,,R,,,,,,,S,,S,S,
ERR212089,,,PRJEB2794,SAMEA1569361,,,,,,,,,S,,,,,,,,,S,,
ERR212090,,,PRJEB2794,SAMEA1569363,,,,,,,,,S,,,,,,,S,,S,,
ERR212092,,,PRJEB2794,SAMEA1569369,,,,,,,,,S,,,,,,,,,S,,
ERR212093,,,PRJEB2794,SAMEA1569326,,,,,,,,,S,,,,,,,,,S,,
ERR212096,,,PRJEB2794,SAMEA1569332,,,,,,,,,S,,,,,,,,,S,,
ERR212097,,,PRJEB2794,SAMEA1569337,,,,,,,,,S,,,,,,,S,,S,,
ERR212098,,,PRJEB2794,SAMEA1569341,,,,,,,,,S,,,,,,,,,S,,
ERR212099,,,PRJEB2794,SAMEA1569097,,,,,,,,,S,,,,,,,,,S,,
ERR212101,,,PRJEB2794,SAMEA1569231,,,,,,,,,S,,,,,,,,,S,,
ERR212102,,,PRJEB2794,SAMEA1569235,,,,,,,,,S,,,,,,,S,,S,,
ERR212103,,,PRJEB2794,SAMEA1569219,,,,,,,,,S,,,,,,,,,S,,
ERR212104,,,PRJEB2794,SAMEA1569224,,,,,,S,,,S,,,,,,,S,,S,S,
ERR212105,,,PRJEB2794,SAMEA1569209,,,,,,S,,,R,,,,,,,S,,S,R,
ERR212106,,,PRJEB2794,SAMEA1569211,,,,,,,,,S,,,,,,,S,,S,,
ERR212107,,,PRJEB2794,SAMEA1569215,,,,,,S,,,S,,,,,,,S,,S,S,
ERR212108,,,PRJEB2794,SAMEA1569203,,,,,,,,,S,,,,,,,,,S,,
ERR212110,,,PRJEB2794,SAMEA1569276,,,,,,S,,,S,,,,,,,S,,S,S,
ERR212111,,,PRJEB2794,SAMEA1569274,,,,,,S,,,S,,,,,,,S,,S,S,
ERR212113,,,PRJEB2794,SAMEA1569244,,,,,,S,,,S,,,,,,,,,S,S,
ERR212115,,,PRJEB2794,SAMEA1569259,,,,,,S,,,S,,,,,,,S,,S,S,
ERR212117,,,PRJEB2794,SAMEA1569250,,,,,,,,,S,,,,,,,,,S,,
ERR212119,,,PRJEB2794,SAMEA1569171,,,,,,,,,S,,,,,,,,,S,,
ERR212122,,,PRJEB2794,SAMEA1569181,,,,,,S,,,R,,,,,,,S,,S,S,
ERR212124,,,PRJEB2794,SAMEA1569195,,,,,,,,,S,,,,,,,,,S,,
ERR212126,,,PRJEB2794,SAMEA1569205,,,,,,,,,S,,,,,,,,,S,,
ERR212127,,,PRJEB2794,SAMEA1569208,,,,,,,,,R,,,,,,,S,,S,S,
ERR212128,,,PRJEB2794,SAMEA1569212,,,,,,,,,S,,,,,,,,,S,,
ERR212129,,,PRJEB2794,SAMEA1569139,,,,,,,,,S,,,,,,,,,S,,
ERR212130,,,PRJEB2794,SAMEA1569149,,,,,,,,,S,,,,,,,,,S,,
ERR212133,,,PRJEB2794,SAMEA1569331,,,,,,,,,S,,,,,,,,,S,,
ERR212134,,,PRJEB2794,SAMEA1569335,,,,,,,,,S,,,,,,,,,S,,
ERR212136,,,PRJEB2794,SAMEA1569328,,,,,,,,,S,,,,,,,,,S,,
ERR212137,,,PRJEB2794,SAMEA1569346,,,,,,,,,S,,,,,,,,,S,,
ERR212139,,,PRJEB2794,SAMEA1569261,,,,,,,,,S,,,,,,,,,S,,
ERR212140,,,PRJEB2794,SAMEA1569299,,,,,,,,,S,,,,,,,,,S,,
ERR212141,,,PRJEB2794,SAMEA1569292,,,,,,,,,S,,,,,,,,,S,,
ERR212142,,,PRJEB2794,SAMEA1569287,,,,,,,,,S,,,,,,,,,S,,
ERR212144,,,PRJEB2794,SAMEA1569281,,,,,,,,,S,,,,,,,,,S,,
ERR212145,,,PRJEB2794,SAMEA1569322,,,,,,,,,S,,,,,,,,,S,,
ERR212146,,,PRJEB2794,SAMEA1569319,,,,,,S,,,R,,,,,,,S,,S,,
ERR212147,,,PRJEB2794,SAMEA1569313,,,,,,,,,S,,,,,,,,,S,,
ERR212149,,,PRJEB2794,SAMEA1569207,,,,,,,,,S,,,,,,,,,S,,
ERR212153,,,PRJEB2794,SAMEA1569223,,,,,,,,,S,,,,,,,,,S,,
ERR212154,,,PRJEB2794,SAMEA1569217,,,,,,,,,S,,,,,,,,,S,,
ERR212156,,,PRJEB2794,SAMEA1569172,,,,,,,,,S,,,,,,,,,S,,
ERR212157,,,PRJEB2794,SAMEA1569167,,,,,,,,,S,,,,,,,,,S,,
ERR212161,,,PRJEB2794,SAMEA1569101,,,,,,,,,S,,,,,,,,,S,,
ERR212163,,,PRJEB2794,SAMEA1569126,,,,,,,,,S,,,,,,,,,S,,
ERR212164,,,PRJEB2794,SAMEA1569135,,,,,,,,,S,,,,,,,,,S,,
ERR212165,,,PRJEB2794,SAMEA1569116,,,,,,,,,S,,,,,,,,,S,,
ERR212176,,,PRJEB2794,SAMEA1569268,,,,,,,,,S,,,,,,,,,S,,
ERR212177,,,PRJEB2794,SAMEA1569269,,,,,,,,,S,,,,,,,,,S,,
ERR212178,,,PRJEB2794,SAMEA1569137,,,,,,,,,S,,,,,,,,,S,,
ERR212179,,,PRJEB2794,SAMEA1569117,,,,,,S,,,R,,,,,,,S,,S,S,
ERR212180,,,PRJEB2794,SAMEA1569112,,,,,,,,,S,,,,,,,,,S,,
ERR212181,,,PRJEB2794,SAMEA1569120,,,,,,,,,S,,,,,,,,,S,,
ERR2124075,,,PRJEB10950,SAMEA104304835,,,,,,S,,,R,,,,,,,,,R,S,
ERR2124076,,,PRJEB10950,SAMEA104304836,,,,,,R,,,R,,,,,,,,,R,R,
ERR2124077,,,PRJEB10950,SAMEA104304837,,,,,,R,,,R,,,,,,,,,R,R,
ERR2124078,,,PRJEB10950,SAMEA104304838,,,,,,R,,,R,,,,,,,,,R,S,
ERR2124079,,,PRJEB10950,SAMEA104304839,,,,,,R,,,R,,,,,,,,,R,S,
ERR2124081,,,PRJEB10950,SAMEA104304841,,,,,,R,,,R,,,,,,,,,R,R,
ERR2124082,,,PRJEB10950,SAMEA104304842,,,,,,R,,,R,,,,,,,,,R,S,
ERR2124084,,,PRJEB10950,SAMEA104304844,,,,,,S,,,S,,,,,,,,,R,R,
ERR2124085,,,PRJEB10950,SAMEA104304845,,,,,,R,,,R,,,,,,,,,R,R,
ERR2124086,,,PRJEB10950,SAMEA104304846,,,,,,S,,,R,,,,,,,,,R,R,
ERR2124087,,,PRJEB10950,SAMEA104304847,,,,,,S,,,R,,,,,,,,,S,R,
ERR2124089,,,PRJEB10950,SAMEA104304849,,,,,,S,,,S,,,,,,,,,S,S,
ERR2124090,,,PRJEB10950,SAMEA104304850,,,,,,R,,,R,,,,,,,,,R,S,
ERR2124091,,,PRJEB10950,SAMEA104304851,,,,,,S,,,R,,,,,,,,,S,R,
ERR2124092,,,PRJEB10950,SAMEA104304852,,,,,,S,,,R,,,,,,,,,S,R,
ERR2124093,,,PRJEB10950,SAMEA104304853,,,,,,S,,,S,,,,,,,,,S,S,
ERR2124094,,,PRJEB10950,SAMEA104304854,,,,,,S,,,S,,,,,,,,,S,S,
ERR2124095,,,PRJEB10950,SAMEA104304855,,,,,,R,,,R,,,,,,,,,R,R,
ERR2124096,,,PRJEB10950,SAMEA104304856,,,,,,S,,,R,,,,,,,,,R,R,
ERR2124097,,,PRJEB10950,SAMEA104304857,,,,,,R,,,R,,,,,,,,,S,R,
ERR2124098,,,PRJEB10950,SAMEA104304858,,,,,,S,,,R,,,,,,,,,R,S,
ERR2124099,,,PRJEB10950,SAMEA104304859,,,,,,S,,,S,,,,,,,,,S,S,
ERR2124100,,,PRJEB10950,SAMEA104304860,,,,,,S,,,S,,,,,,,,,S,R,
ERR2124101,,,PRJEB10950,SAMEA104304861,,,,,,S,,,R,,,,,,,,,S,R,
ERR2124103,,,PRJEB10950,SAMEA104304863,,,,,,R,,,R,,,,,,,,,R,R,
ERR2124105,,,PRJEB10950,SAMEA104304865,,,,,,S,,,R,,,,,,,,,S,S,
ERR2124106,,,PRJEB10950,SAMEA104304866,,,,,,R,,,R,,,,,,,,,R,R,
ERR2124107,,,PRJEB10950,SAMEA104304867,,,,,,R,,,S,,,,,,,,,R,S,
ERR2124108,,,PRJEB10950,SAMEA104304868,,,,,,R,,,R,,,,,,,,,R,R,
ERR2145485,,,PRJEB10950,SAMEA104326161,,,,,,S,,,S,,,,,,,,,S,S,
ERR2145486,,,PRJEB10950,SAMEA104326162,,,,,,S,,,S,,,,,,,,,S,S,
ERR2145490,,,PRJEB10950,SAMEA104326166,,,,,,S,,,S,,,,,,,,,S,S,
ERR2145492,,,PRJEB10950,SAMEA104326168,,,,,,S,,,S,,,,,,,,,S,S,
ERR2145493,,,PRJEB10950,SAMEA104326169,,,,,,S,,,R,,,,,,,,,R,S,
ERR2145494,,,PRJEB10950,SAMEA104326170,,,,,,S,,,R,,,,,,,,,S,S,
ERR2145495,,,PRJEB10950,SAMEA104326171,,,,,,S,,,S,,,,,,,,,S,S,
ERR2145496,,,PRJEB10950,SAMEA104326172,,,,,,S,,,S,,,,,,,,,S,S,
ERR2145497,,,PRJEB10950,SAMEA104326173,,,,,,S,,,S,,,,,,,,,S,S,
ERR2145498,,,PRJEB10950,SAMEA104326174,,,,,,S,,,S,,,,,,,,,S,S,
ERR2145503,,,PRJEB10950,SAMEA104326179,,,,,,S,,,S,,,,,,,,,S,S,
ERR2145504,,,PRJEB10950,SAMEA104326180,,,,,,S,,,S,,,,,,,,,S,S,
ERR2145505,,,PRJEB10950,SAMEA104326181,,,,,,S,,,S,,,,,,,,,S,S,
ERR2145506,,,PRJEB10950,SAMEA104326182,,,,,,S,,,S,,,,,,,,,S,S,
ERR2145507,,,PRJEB10950,SAMEA104326183,,,,,,S,,,R,,,,,,,,,R,S,
ERR2145508,,,PRJEB10950,SAMEA104326184,,,,,,S,,,S,,,,,,,,,R,S,
ERR2145509,,,PRJEB10950,SAMEA104326185,,,,,,S,,,S,,,,,,,,,S,S,
ERR2145510,,,PRJEB10950,SAMEA104326186,,,,,,S,,,S,,,,,,,,,S,S,
ERR2145511,,,PRJEB10950,SAMEA104326187,,,,,,S,,,S,,,,,,,,,S,S,
ERR2145514,,,PRJEB10950,SAMEA104326190,,,,,,S,,,S,,,,,,,,,S,S,
ERR2145515,,,PRJEB10950,SAMEA104326191,,,,,,S,,,S,,,,,,,,,S,S,
ERR2145517,,,PRJEB10950,SAMEA104326193,,,,,,S,,,S,,,,,,,,,S,S,
ERR2145518,,,PRJEB10950,SAMEA104326194,,,,,,S,,,S,,,,,,,,,S,S,
ERR2145519,,,PRJEB10950,SAMEA104326195,,,,,,S,,,S,,,,,,,,,S,S,
ERR2145520,,,PRJEB10950,SAMEA104326196,,,,,,R,,,R,,,,,,,,,R,S,
ERR2145521,,,PRJEB10950,SAMEA104326197,,,,,,S,,,S,,,,,,,,,S,S,
ERR2145522,,,PRJEB10950,SAMEA104326198,,,,,,S,,,S,,,,,,,,,S,S,
ERR2145524,,,PRJEB10950,SAMEA104326200,,,,,,S,,,R,,,,,,,,,R,R,
ERR216900,,,PRJEB2794,SAMEA1688643,,,,,,,,,S,,,,,,,,,S,,
ERR216903,,,PRJEB2794,SAMEA1688556,,,,,,,,,S,,,,,,,S,,S,,
ERR216905,,,PRJEB2794,SAMEA1688561,,,,,,,,,S,,,,,,,,,S,,
ERR216907,,,PRJEB2794,SAMEA1688564,,,,,,,,,S,,,,,,,,,S,,
ERR216908,,,PRJEB2794,SAMEA1688565,,,,,,,,,S,,,,,,,,,S,,
ERR216909,,,PRJEB2794,SAMEA1688567,,,,,,,,,S,,,,,,,,,S,,
ERR216912,,,PRJEB2794,SAMEA1688611,,,,,,,,,S,,,,,,,,,S,,
ERR216913,,,PRJEB2794,SAMEA1688607,,,,,,,,,S,,,,,,,,,S,,
ERR216914,,,PRJEB2794,SAMEA1688476,,,,,,,,,S,,,,,,,,,S,,
ERR216915,,,PRJEB2794,SAMEA1688479,,,,,,,,,S,,,,,,,,,S,,
ERR216917,,,PRJEB2794,SAMEA1688472,,,,,,,,,S,,,,,,,,,S,,
ERR216920,,,PRJEB2794,SAMEA1688496,,,,,,,,,S,,,,,,,,,S,,
ERR216921,,,PRJEB2794,SAMEA1688481,,,,,,,,,S,,,,,,,,,S,,
ERR216922,,,PRJEB2794,SAMEA1688529,,,,,,,,,S,,,,,,,,,S,,
ERR216923,,,PRJEB2794,SAMEA1688530,,,,,,,,,S,,,,,,,,,S,,
ERR216924,,,PRJEB2794,SAMEA1688526,,,,,,,,,S,,,,,,,,,S,,
ERR216925,,,PRJEB2794,SAMEA1688523,,,,,,,,,S,,,,,,,,,S,,
ERR216926,,,PRJEB2794,SAMEA1688541,,,,,,,,,S,,,,,,,,,S,,
ERR216931,,,PRJEB2794,SAMEA1688518,,,,,,,,,S,,,,,,,,,S,,
ERR216934,,,PRJEB2794,SAMEA1688493,,,,,,,,,S,,,,,,,,,S,,
ERR216936,,,PRJEB2794,SAMEA1688484,,,,,,,,,S,,,,,,,,,S,,
ERR216937,,,PRJEB2794,SAMEA1688486,,,,,,,,,S,,,,,,,,,S,,
ERR216939,,,PRJEB2794,SAMEA1688504,,,,,,S,,,R,,,,,,,S,,S,S,
ERR216940,,,PRJEB2794,SAMEA1688500,,,,,,,,,S,,,,,,,,,S,,
ERR216943,,,PRJEB2794,SAMEA1688610,,,,,,,,,S,,,,,,,,,S,,
ERR216945,,,PRJEB2794,SAMEA1688603,,,,,,,,,S,,,,,,,,,S,,
ERR216968,,,PRJEB2794,SAMEA1688573,,,,,,,,,S,,,,,,,,,S,,
ERR216979,,,PRJEB2794,SAMEA1688532,,,,,,,,,S,,,,,,,,,S,,
ERR216980,,,PRJEB2794,SAMEA1688533,,,,,,,,,S,,,,,,,,,S,,
ERR216982,,,PRJEB2794,SAMEA1688492,,,,,,,,,S,,,,,,,,,S,,
ERR2184202,S,S,PRJEB23245,ERS1987021,,,,,S,,S,,S,S,,S,S,,,,,S,,
ERR2184203,,S,PRJEB23245,ERS1987022,,,S,,S,,S,,S,S,S,,,,,,,S,,
ERR2184204,S,S,PRJEB23245,ERS1987023,,,S,,S,,S,,S,S,S,S,,,,,,S,,
ERR2184205,S,S,PRJEB23245,ERS1987024,,,,,S,,,,S,S,S,,S,,,,,S,,
ERR2184206,S,S,PRJEB23245,ERS1987025,,,,,S,,,,S,S,S,,S,,,,,S,,
ERR2184207,S,S,PRJEB23245,ERS1987026,S,,S,,S,,S,,R,S,S,S,S,,,,,S,R,
ERR2184208,S,S,PRJEB23245,ERS1987027,,,S,,S,S,S,,R,S,,S,S,,,,,S,,
ERR2184209,S,S,PRJEB23245,ERS1987028,,,S,,S,S,S,,S,S,S,S,S,,,,,S,,
ERR2184210,,S,PRJEB23245,ERS1987029,,,S,,S,,S,,S,S,S,S,S,,,,,S,,
ERR2184211,S,,PRJEB23245,ERS1987030,,,S,,S,S,S,,S,S,,S,S,,,,,S,,
ERR2184212,,S,PRJEB23245,ERS1987031,,,S,,S,S,R,,S,S,S,,S,,,,,R,,
ERR2184213,S,S,PRJEB23245,ERS1987032,,,S,,S,S,S,,S,S,,S,S,,,,,S,,
ERR2184214,S,S,PRJEB23245,ERS1987033,,,S,,S,,S,,S,S,S,S,S,,,,,S,,
ERR2184215,S,S,PRJEB23245,ERS1987034,,,S,,S,S,S,,S,S,S,S,,,,,,S,,
ERR2184216,S,S,PRJEB23245,ERS1987035,,,S,,S,S,S,,S,S,S,S,S,,,,,S,,
ERR2184217,S,S,PRJEB23245,ERS1987036,,,S,,S,,,,S,S,,,S,,,,,S,,
ERR2184218,S,S,PRJEB23245,ERS1987037,,,S,,S,S,S,,S,S,S,S,S,,,,,S,,
ERR2184219,,S,PRJEB23245,ERS1987038,,,S,,S,S,S,,S,S,S,,S,,,,,S,,
ERR2184220,,,PRJEB23245,ERS1987039,,,,,S,S,S,,S,S,S,S,,,,,,S,,
ERR2184221,S,S,PRJEB23245,ERS1987040,,,S,,S,S,S,,S,S,S,,S,,,,,S,,
ERR2184222,S,S,PRJEB23245,ERS1987041,,,S,,S,R,S,,R,S,S,,S,,,,,R,,
ERR2184223,S,S,PRJEB23245,ERS1987042,S,,S,,S,R,S,,R,S,S,,S,,,,,R,R,
ERR2184224,S,S,PRJEB23245,ERS1987043,,,S,,S,R,R,,R,S,,S,S,,,,,R,,
ERR2184225,S,S,PRJEB23245,ERS1987044,,,S,,S,S,S,,S,S,S,S,,,,,,S,,
ERR2184226,S,S,PRJEB23245,ERS1987045,,,S,,S,,S,,S,S,S,S,S,,,,,S,,
ERR2184227,S,S,PRJEB23245,ERS1987046,S,,S,,S,R,S,,R,S,S,,S,,,,,R,S,
ERR2184228,S,S,PRJEB23245,ERS1987047,,,,,S,S,S,,S,S,S,,,,,,,S,,
ERR2184229,S,S,PRJEB23245,ERS1987048,,,S,,,S,S,,S,S,S,S,S,,,,,S,,
ERR2184230,S,S,PRJEB23245,ERS1987049,,,,,S,,S,,S,S,S,S,,,,,,S,,
ERR2184231,S,S,PRJEB23245,ERS1987050,,,,,S,S,S,,S,S,S,S,S,,,,,S,,
