run,amikacin,bedaquiline,bioproject,biosample,capreomycin,clofazimine,delamanid,ethambutol,ethionamide,isoniazid,kanamycin,levofloxacin,linezolid,moxifloxacin,ofloxacin,para-aminosalicylic_acid,pyrazinamide,rifampicin,streptomycin,thioacetazone
ERR9030412,S,,PRJEB49093,SAMEA13188729,S,,,S,,R,S,,,,S,S,,R,R,R
ERR9030414,R,,PRJEB49093,SAMEA13188749,,,,,,,,,,,,,,,,
ERR9030415,R,,PRJEB49093,SAMEA13188789,,,,,,,,,,,S,,,,,
ERR9030416,S,,PRJEB49093,SAMEA13188667,S,,,R,,R,S,,,,S,S,,R,R,R
ERR9030418,S,,PRJEB49093,SAMEA13188721,S,,,S,,R,S,,,,S,S,,R,S,R
ERR9030419,,,PRJEB49093,SAMEA13188718,,,,S,,S,,,,,,,,S,S,
ERR9030420,S,,PRJEB49093,SAMEA13188705,S,,,S,,S,S,,,,S,S,,S,S,R
ERR9030421,,,PRJEB49093,SAMEA13188738,,,,S,,S,,,,,,,,S,S,
ERR9030422,,,PRJEB49093,SAMEA13188681,,,,S,,S,,,,,,S,,S,S,R
ERR9030424,S,,PRJEB49093,SAMEA13188771,,,,,R,,,,,,R,,,,,
ERR9030425,,,PRJEB49093,SAMEA13188677,,,,S,,S,,,,,,,,S,S,
ERR9030426,S,,PRJEB49093,SAMEA13188753,,,,,,,,,,,S,,,,,
ERR9030427,S,,PRJEB49093,SAMEA13188723,S,,,S,,R,S,,,,S,S,,R,S,R
ERR9030428,,,PRJEB49093,SAMEA13188704,,,,S,,S,,,,,,,,S,S,
ERR9030429,S,,PRJEB49093,SAMEA13188722,S,,,S,,R,S,,,,S,S,,R,S,R
ERR9030430,S,,PRJEB49093,SAMEA13188683,S,,,S,,R,S,,,,S,S,,R,S,R
ERR9030431,S,,PRJEB49093,SAMEA13188778,,,,,,,,,,,S,,,,,
ERR9030432,S,,PRJEB49093,SAMEA13188728,S,,,S,,R,S,,,,S,S,,R,S,R
ERR9030433,,,PRJEB49093,SAMEA13188710,,,,S,,R,,,,,,S,,S,S,R
ERR9030434,,,PRJEB49093,SAMEA13188732,,,,S,,S,,,,,,S,,S,S,R
ERR9030435,,,PRJEB49093,SAMEA13188748,,,,S,,S,,,,,,,,S,S,
ERR9030437,S,,PRJEB49093,SAMEA13188696,S,,,R,,R,S,,,,S,S,,R,R,R
ERR9030438,,,PRJEB49093,SAMEA13188720,,,,S,,S,,,,,,,,S,S,
ERR9030439,,,PRJEB49093,SAMEA13188742,,,,S,,S,,,,,,S,,S,S,R
ERR9030440,S,,PRJEB49093,SAMEA13188773,,,,,S,,,,,,S,,,,,
ERR9030448,,,PRJEB49093,SAMEA13188695,,,,S,,S,,,,,,,,S,S,
ERR9030449,S,,PRJEB49093,SAMEA13188697,S,,,S,,S,S,,,,S,R,,S,S,R
ERR9030452,,,PRJEB49093,SAMEA13188737,,,,S,,S,,,,,,S,,S,S,R
ERR9030462,R,,PRJEB49093,SAMEA13188779,,,,,,,,,,,S,,,,,
ERR9030465,S,,PRJEB49093,SAMEA13188781,,,,,,S,,,,,S,,,,,
ERR9030466,S,,PRJEB49093,SAMEA13188747,S,,,S,,R,S,,,,S,S,,R,S,R
ERR9030468,S,,PRJEB49093,SAMEA13188757,,,,,,,,,,,S,,,,,
ERR9030469,S,,PRJEB49093,SAMEA13188727,S,,,R,,R,S,,,,S,S,,R,R,R
ERR9030471,S,,PRJEB49093,SAMEA13188786,,,,,S,S,,,,,S,,,,,
ERR9030474,S,,PRJEB49093,SAMEA13188716,S,,,R,,R,S,,,,S,S,,R,S,R
ERR9030475,S,,PRJEB49093,SAMEA13188726,S,,,R,,R,S,,,,S,S,,R,R,R
ERR9030476,S,,PRJEB49093,SAMEA13188684,S,,,R,,R,S,,,,S,S,,R,S,R
ERR9030477,,,PRJEB49093,SAMEA13188736,,,,S,,S,,,,,,S,,S,S,R
ERR9030478,S,,PRJEB49093,SAMEA13188725,S,,,S,,R,S,,,,S,S,,R,S,R
ERR9030481,,,PRJEB49093,SAMEA13188735,,,,S,,S,,,,,,,,S,S,
ERR9030485,S,,PRJEB49093,SAMEA13188768,,,,,,R,,,,,S,,,,,
ERR9030488,S,,PRJEB49093,SAMEA13188758,,,,,,,,,,,R,,,,,
ERR9030489,R,,PRJEB49093,SAMEA13188761,,,,,,,,,,,R,,,,,
ERR9030498,S,,PRJEB49093,SAMEA13188774,,,,,,,,,,,R,,,,,
ERR9030501,,,PRJEB49093,SAMEA13188711,,,,S,,S,,,,,,S,,S,S,R
ERR9030506,R,,PRJEB49093,SAMEA13188770,,,,,,,,,,,R,,,,,
ERR9030507,,,PRJEB49093,SAMEA13188690,,,,S,,S,,,,,,,,S,S,
ERR9030508,S,,PRJEB49093,SAMEA13188674,S,,,S,,S,S,,,,S,S,,R,S,R
ERR9030509,R,,PRJEB49093,SAMEA13188772,,,,,,,,,,,R,,,,,
ERR9030511,S,,PRJEB49093,SAMEA13188673,S,,,S,,R,S,,,,S,S,,R,S,R
ERR9030512,,,PRJEB49093,SAMEA13188686,,,,S,,S,,,,,,,,S,S,
ERR9030513,S,,PRJEB49093,SAMEA13188662,S,,,S,,R,S,,,,S,S,,R,R,R
ERR9030514,S,,PRJEB49093,SAMEA13188664,S,,,S,,R,S,,,,S,S,,R,S,R
ERR9030515,S,,PRJEB49093,SAMEA13188682,S,,,S,,S,S,,,,S,S,,S,S,R
ERR9030520,S,,PRJEB49093,SAMEA13188755,,,,,,,,,,,S,,,,,
ERR9030521,,,PRJEB49093,SAMEA13188680,,,,S,,R,,,,,,R,,R,S,R
ERR9030522,S,,PRJEB49093,SAMEA13188699,S,,,S,,R,S,,,,S,,,R,S,R
ERR9030523,S,,PRJEB49093,SAMEA13188714,S,,,,,R,S,,,,S,S,,R,S,R
ERR9030527,,,PRJEB49093,SAMEA13188669,,,,S,,S,,,,,,,,S,S,
ERR9030530,S,,PRJEB49093,SAMEA13188782,,,,,S,,,,,,S,,,,,
ERR9030532,S,,PRJEB49093,SAMEA13188712,S,,,S,,R,S,,,,S,S,,R,S,R
ERR9030533,S,,PRJEB49093,SAMEA13188765,,,,,S,,,,,,S,,,,,
ERR9030536,,,PRJEB49093,SAMEA13188743,,,,S,,S,,,,,,,,S,S,
ERR9030537,,,PRJEB49093,SAMEA13188675,,,,R,,R,,,,,,S,,R,S,R
ERR9030540,,,PRJEB49093,SAMEA13188707,,,,S,,S,,,,,,S,,S,S,R
ERR9030542,,,PRJEB49093,SAMEA13188694,,,,S,,S,,,,,,,,S,S,
SRR23086711,R,,PRJNA903660,SAMN32746384,R,,,R,,R,R,,,S,S,,R,R,,
SRR23086712,S,,PRJNA903660,SAMN32746383,S,,,,,R,S,R,,R,R,,,R,,
SRR23086713,R,,PRJNA903660,SAMN32746382,R,,,R,,R,R,,,S,S,,R,R,,
SRR23086714,S,,PRJNA903660,SAMN32746381,S,,,R,,R,S,R,,R,,,R,R,,
SRR23086715,R,,PRJNA903660,SAMN32746380,R,,,R,R,R,R,,S,S,S,,R,R,R,
SRR23086716,R,,PRJNA903660,SAMN32746379,R,,,R,,R,R,,,S,,,R,R,R,
SRR23086718,S,S,PRJNA903660,SAMN32746378,S,S,S,R,R,R,S,R,S,R,R,,R,R,,
SRR23086719,S,S,PRJNA903660,SAMN32746377,S,S,S,R,R,R,S,R,S,,,,R,R,,
SRR23086720,S,S,PRJNA903660,SAMN32746376,S,S,S,R,,R,S,R,S,R,,S,R,R,,
SRR23086721,,,PRJNA903660,SAMN32746375,,,,,,R,,,,R,R,,,R,,
SRR23086722,,,PRJNA903660,SAMN32746374,,,,,,R,,R,,,,,,R,,
SRR23086723,,,PRJNA903660,SAMN32746373,,,,R,,R,,R,,,,,R,R,R,
SRR23086724,,,PRJNA903660,SAMN32746372,,,,,,R,,R,,,,,,R,,
